rank,lemma,PoS,perMil
638,rest,n,152.93
639,recent,j,152.76
640,available,j,152.47
641,step,n,152.46
642,ready,j,149.22
643,opportunity,n,152.29
644,official,n,151.48
645,oil,n,151.47
646,call,n,150.95
647,organization,n,150.31
648,character,n,149.87
649,single,j,149.84
650,current,j,149.43
651,likely,j,149.26
652,county,n,149.21
653,future,n,148.96
654,dad,n,148.56
655,whose,d,148.53
656,less,d,148.32
657,shoot,v,148.17
658,industry,n,147.78
659,second,n,147.66
660,list,n,147.52
661,general,j,147.30
662,stuff,n,147.02
663,figure,n,146.84
664,attention,n,146.69
665,forget,v,146.58
666,risk,n,146.36
667,no,r,145.94
668,focus,v,145.91
669,short,j,145.86
670,fire,n,145.77
671,dog,n,145.66
672,red,j,145.14
673,hair,n,144.89
674,point,v,144.76
675,condition,n,144.74
676,wall,n,144.40
677,daughter,n,143.75
678,before,r,143.68
679,deal,n,143.59
680,author,n,143.35
681,truth,n,143.01
682,upon,i,142.41
683,husband,n,142.28
684,period,n,142.16
685,series,n,141.22
686,order,n,141.01
687,officer,n,140.92
688,close,j,140.69
689,land,n,140.56
690,note,v,140.09
691,computer,n,140.06
692,thought,n,139.99
693,economy,n,139.73
694,goal,n,139.67
695,bank,n,139.65
696,behavior,n,139.37
697,sound,v,139.36
698,deal,v,139.17
699,certainly,r,139.13
700,nearly,r,139.00
701,increase,v,138.68
702,act,n,138.64
703,north,n,138.63
704,well,i,138.57
705,blood,n,138.42
706,culture,n,138.10
707,medical,j,137.81
708,ok,r,137.75
709,everybody,p,137.75
710,top,n,137.62
711,difficult,j,137.43
712,close,v,137.39
713,language,n,137.08
714,window,n,137.00
715,response,n,136.90
716,population,n,136.69
717,lie,v,136.67
718,tree,n,136.62
719,park,n,136.39
720,worker,n,136.19
721,draw,v,135.97
722,plan,v,135.96
723,drop,v,135.16
724,push,v,135.15
725,earth,n,135.14
726,cause,n,134.94
727,per,i,134.92
728,private,j,134.85
729,tonight,r,134.28
730,race,n,134.12
731,than,i,134.10
732,letter,n,133.76
733,other,p,133.66
734,gun,n,133.50
735,simple,j,132.93
736,course,n,132.84
737,wonder,v,132.57
738,involve,v,132.20
739,hell,n,132.19
740,poor,j,132.03
741,each,p,131.67
742,answer,n,131.45
743,nature,n,131.29
744,administration,n,131.21
745,common,j,131.21
746,no,p,131.12
747,hard,r,130.83
748,message,n,130.71
749,song,n,130.56
750,enjoy,v,130.49
751,similar,j,130.18
752,congress,n,129.83
753,attack,n,129.80
754,past,j,129.74
755,hot,j,129.21
756,seek,v,128.45
757,amount,n,128.97
758,analysis,n,128.93
759,store,n,128.88
760,defense,n,128.82
761,bill,n,128.82
762,like,c,128.73
763,cell,n,128.72
764,away,i,128.32
765,performance,n,128.21
766,hospital,n,128.21
767,bed,n,128.13
768,board,n,128.10
769,protect,v,127.56
770,century,n,127.56
771,summer,n,127.31
772,material,n,127.14
773,individual,n,126.46
774,recently,r,126.41
775,example,n,126.32
776,represent,v,126.21
777,fill,v,126.13
778,state,v,125.94
779,place,v,125.78
780,animal,n,125.71
781,fail,v,125.55
782,factor,n,124.79
783,natural,j,124.66
784,sir,n,124.50
785,agency,n,124.39
786,usually,r,124.17
787,significant,j,123.90
788,help,n,123.88
789,ability,n,123.81
790,mile,n,123.76
791,statement,n,123.72
792,entire,j,123.26
793,democrat,n,123.18
794,floor,n,123.15
795,serious,j,123.11
796,career,n,122.21
797,dollar,n,122.84
798,vote,v,122.43
799,sex,n,122.20
800,compare,v,121.83
801,south,n,121.74
802,forward,r,121.72
803,subject,n,121.62
804,financial,j,121.57
805,identify,v,121.54
806,beautiful,j,121.53
807,decade,n,121.39
808,bit,n,121.31
809,reduce,v,121.24
810,sister,n,118.94
811,quality,n,121.08
812,quickly,r,120.98
813,act,v,120.49
814,press,n,120.32
815,worry,v,120.09
816,accept,v,120.08
817,enter,v,119.96
818,mention,v,119.87
819,sound,n,119.86
820,thus,r,119.49
821,plant,n,119.15
822,movement,n,118.95
823,scene,n,118.83
824,section,n,117.99
825,treatment,n,117.71
826,wish,v,117.71
827,benefit,n,117.63
828,interesting,j,117.59
829,west,n,117.50
830,candidate,n,117.16
831,approach,n,116.99
832,determine,v,116.95
833,resource,n,116.89
834,claim,v,116.84
835,answer,v,116.77
836,prove,v,116.72
837,sort,n,116.30
838,enough,d,116.27
839,size,n,116.20
840,somebody,p,116.17
841,knowledge,n,116.17
842,rather,r,115.91
843,hang,v,115.77
844,sport,n,115.70
845,tv,n,115.67
846,loss,n,115.44
847,argue,v,115.23
848,left,j,115.12
849,note,n,115.05
850,meeting,n,115.01
851,skill,n,114.71
852,card,n,114.27
853,feeling,n,114.21
854,despite,i,114.05
855,degree,n,113.84
856,crime,n,113.77
857,that,r,113.70
858,sign,n,113.39
859,occur,v,113.37
860,imagine,v,113.36
861,vote,n,113.19
862,near,i,113.00
863,king,n,112.88
