rank,lemma,perMil,duplicate_count
125,let,786.42,1
126,something,785.45,1
127,too,776.79,1
128,state,768.4300000000001,2
129,show,768.13,2
130,last,765.66,3
131,woman,765.16,1
132,little,751.81,3
133,long,750.06,3
134,never,749.84,1
135,feel,748.24,2
136,off,743.5,2
137,talk,740.77,2
138,world,737.66,1
139,help,734.43,2
140,such,717.8299999999999,2
141,yeah,708.87,1
142,great,701.9,1
143,child,690.24,1
144,oh,690.05,1
145,ask,681.35,1
146,own,670.22,2
147,while,665.86,2
148,school,664.83,1
149,start,647.99,2
150,around,647.52,2
151,leave,641.3299999999999,2
152,place,638.16,2
153,point,632.26,2
154,keep,630.89,1
155,love,628.62,2
156,home,625.45,2
157,put,621.29,1
158,change,606.0,2
159,big,604.58,1
160,another,600.11,2
161,same,596.6,1
162,high,592.48,2
163,both,586.94,2
164,play,585.46,2
165,american,577.3399999999999,2
166,three,574.9,1
167,every,571.22,1
168,house,566.5,2
169,become,565.24,1
170,part,563.4100000000001,2
171,between,562.44,1
172,happen,556.68,1
173,turn,552.35,2
174,each,549.24,2
175,family,548.35,1
176,run,547.53,2
177,end,544.67,2
178,president,542.1,1
179,old,541.2,1
180,yes,540.84,1
181,lot,540.6,2
182,again,534.43,1
183,student,533.92,1
184,seem,526.61,1
185,might,525.66,1
186,hand,525.46,2
187,hear,520.11,1
188,its,515.52,1
189,problem,507.72,1
190,question,504.32,2
191,believe,504.03,1
192,country,502.88,1
193,live,502.72,2
194,move,502.35,2
195,since,498.43,3
196,always,496.41,1
197,better,492.72,2
198,next,492.06,2
199,far,491.12,3
200,week,488.24,1
201,away,486.33,2
202,case,482.09000000000003,2
203,few,476.13,1
204,name,475.08,2
205,group,474.28,1
206,against,470.99,1
207,guy,467.34,1
208,kind,465.17,2
209,study,460.23,2
210,sure,457.65999999999997,2
211,night,455.27,1
212,best,450.15,2
213,game,448.28,1
214,number,447.53,1
215,head,446.18,2
216,bad,443.31,2
217,write,442.96,1
218,bring,442.53,1
219,hold,442.37,2
220,without,441.65,1
221,money,440.66,1
222,book,438.45,1
223,system,438.36,1
224,city,436.89,1
225,company,435.51,1
226,government,435.48,1
227,story,435.22,1
228,today,434.59,1
229,job,434.02,1
230,must,430.8,1
231,okay,429.22999999999996,2
232,friend,426.73,1
233,during,426.6,1
234,face,425.88,2
235,begin,424.84,1
236,under,423.65999999999997,2
237,different,416.48,1
238,issue,414.82,2
239,stop,405.61,2
240,ever,405.42,1
241,word,405.04,1
242,though,404.34,2
243,report,404.02,2
244,open,403.15,2
245,set,402.87,2
246,fact,402.38,1
247,enough,399.03,2
248,pay,398.96999999999997,2
249,early,397.09000000000003,2
250,program,395.12,2
251,second,392.86,2
252,care,392.25,2
253,course,391.89,2
254,read,388.85,1
255,anything,387.21,1
256,nothing,386.44,1
257,until,384.96,2
258,small,384.67,1
259,month,384.52,1
260,kid,383.03000000000003,2
261,once,377.25,2
262,public,377.16,3
263,maybe,376.96,1
264,business,376.37,1
265,close,375.88,3
266,plan,369.22,2
267,million,366.66999999999996,2
268,hard,360.67,2
269,idea,360.52,1
270,room,360.2,1
271,percent,360.03,1
272,law,357.45,1
273,watch,356.46,2
274,actually,356.34,1
275,large,356.19,1
276,provide,354.41,1
277,lose,354.12,1
278,power,353.95,1
279,support,353.42,2
280,war,353.04,1
281,understand,351.59,1
282,mother,350.92,1
283,real,350.69,1
284,team,350.51,1
285,line,349.85,2
286,eye,349.59,1
287,lead,347.94,2
288,side,345.25,1
289,stand,345.09999999999997,2
290,water,344.98,1
291,young,343.4,1
292,wait,342.31,1
293,yet,340.79,1
294,less,339.65999999999997,2
295,meet,336.3,1
296,service,334.65,1
297,area,334.2,1
298,important,333.98,1
299,person,333.31,1
300,hey,332.56,1
301,result,332.55,2
302,thank,332.45,1
303,someone,331.31,1
304,however,328.35,1
305,black,327.79,2
306,hour,326.28,1
307,everything,326.03,1
308,win,325.19,2
309,national,324.22,1
310,four,322.08,1
311,girl,321.36,1
312,father,320.41,1
313,hope,320.07,2
314,force,319.88,2
315,sit,317.24,1
316,experience,317.14,2
317,create,316.84,1
318,information,316.55,1
319,car,315.64,1
320,learn,314.85,1
321,least,313.76,1
322,already,313.71,1
323,fall,311.92,2
324,kill,309.46,1
325,minute,308.19,1
326,cause,306.77,2
327,party,306.46,1
328,include,306.33,1
329,human,305.93,2
330,together,305.1,1
331,follow,302.38,1
332,health,302.37,1
333,control,300.48,2
334,remember,300.32,1
335,often,297.79,1
336,reason,297.65,1
337,speak,297.6,1
338,ago,296.99,1
339,past,296.59000000000003,4
340,break,296.49,2
341,level,295.5,2
342,member,294.65,1
343,walk,293.34,2
344,community,292.53,1
345,late,292.48,2
346,social,292.41,1
347,stay,291.29,2
348,news,291.21,1
349,allow,290.59,1
350,body,289.84,1
351,base,288.4,2
352,mind,285.3,2
353,continue,284.34,1
354,whether,282.95,1
355,deal,282.76,2
356,spend,282.34,1
357,top,281.57,4
358,able,281.52,1
359,political,281.37,1
360,almost,281.37,1
361,boy,281.25,1
362,university,281.09,1
363,light,280.74,3
364,offer,279.08000000000004,2
365,research,278.25,2
366,white,277.61,2
367,add,277.17,1
368,later,276.1,1
369,whole,272.86,2
370,five,272.17,1
371,probably,271.63,1
372,free,271.02,2
373,center,270.71,1
374,among,269.68,1
375,form,267.23,2
376,cut,267.18,2
377,die,266.4,1
378,process,266.08,2
379,post,265.04,2
380,matter,264.86,3
381,food,264.54,1
382,else,263.64,1
383,history,262.88,1
384,buy,262.03,1
385,morning,260.95,1
386,parent,260.0,1
387,office,259.97,1
388,figure,259.27,2
389,sound,259.22,2
390,act,259.13,2
391,send,258.11,1
392,along,257.63,2
393,drive,255.67,2
394,please,255.33,2
395,note,255.14,2
396,door,254.4,1
397,several,253.31,1
398,court,252.65,1
399,return,251.65,2
400,grow,250.55,1
401,across,248.61,2
402,answer,248.21999999999997,2
403,moment,248.09,1
404,sense,247.53,2
405,including,247.17,1
406,cost,247.01999999999998,2
407,age,246.57,2
408,consider,246.36,1
409,pass,245.61,2
410,within,245.43,1
411,step,245.38,2
412,view,245.23999999999998,2
413,behind,245.11,2
414,street,244.26,1
415,everyone,243.01,1
416,test,242.03000000000003,2
417,policy,241.87,1
418,table,240.57,1
419,record,240.11,2
420,sorry,239.21,1
421,low,238.69,1
422,general,238.62,3
423,rather,238.48,3
424,market,237.70000000000002,2
425,share,237.19,2
426,teacher,236.29,1
427,data,236.16,1
428,TRUE,235.92,1
429,vote,235.62,2
430,death,234.79,1
431,hit,234.72,2
432,education,232.66,1
433,build,231.69,1
434,wrong,231.61,2
435,expect,231.47,1
436,tax,231.12,2
437,himself,230.36,1
438,either,230.19,2
439,pretty,227.23,2
440,future,227.17000000000002,2
441,college,226.21,1
442,music,224.33,1
443,fight,223.96999999999997,2
444,republican,222.85999999999999,2
445,appear,222.84,1
446,rate,221.82,2
447,sign,221.78,2
448,bit,221.53,2
449,class,220.7,1
450,police,220.58,1
451,effect,219.53,1
452,season,219.22,1
453,fire,219.19,2
454,clear,218.38,2
455,heart,217.87,1
456,son,217.74,1
457,art,217.5,1
458,local,217.16000000000003,2
459,individual,216.77999999999997,2
460,present,216.01999999999998,3
461,miss,215.48999999999998,2
462,possible,215.31,1
463,serve,215.01,1
464,cover,214.16,2
465,although,213.88,1
466,value,213.64999999999998,2
467,reach,212.57999999999998,2
468,air,211.78,1
469,require,211.09,1
470,foot,210.8,1
471,pick,210.48999999999998,2
472,design,210.47,2
473,increase,210.43,2
474,half,210.36,2
475,listen,210.29,1
476,agree,209.97,1
477,according,209.87,1
478,anyone,209.37,1
479,baby,209.04,1
480,order,208.14,2
481,focus,207.73,2
482,check,207.33,2
483,decide,206.89,1
484,model,206.82,2
485,full,205.69,1
486,comment,205.14000000000001,2
487,interest,204.07,1
488,sometimes,203.25,1
489,security,202.96,1
490,eat,202.73,1
491,suggest,201.97,1
492,nation,201.43,1
493,major,201.01999999999998,2
494,front,200.93,3
495,sell,200.38,1
496,easy,200.09,1
497,action,199.92,1
498,official,199.18,2
499,wife,198.69,1
500,instead,198.15,2
501,decision,197.81,1
502,receive,197.62,1
503,phone,196.31,1
504,attack,196.22000000000003,2
505,thanks,196.21,1
506,project,196.2,2
507,soon,196.18,2
508,event,196.12,1
509,rule,195.92,2
510,practice,195.81,2
511,strong,195.24,1
512,remain,194.94,1
513,outside,194.7,3
514,explain,194.63,1
515,site,194.61,1
516,claim,194.43,2
517,rest,194.13,2
518,pull,193.81,1
519,church,193.22,1
520,perhaps,192.74,1
521,relationship,192.69,1
522,six,192.54,1
523,fine,192.12,1
524,movie,192.11,1
525,field,191.83,1
526,raise,191.69,1
527,position,191.67,2
528,list,191.17000000000002,2
529,likely,191.08999999999997,2
530,player,190.61,1
531,couple,190.6,1
532,themselves,189.74,1
533,especially,187.38,1
534,difference,186.61,1
535,development,186.54,1
536,federal,186.44,1
537,former,186.36,1
538,role,185.78,1
539,myself,184.52,1
540,picture,183.42000000000002,2
541,star,183.39000000000001,2
542,price,183.2,1
543,effort,183.03,1
544,nice,182.84,1
545,quite,182.71,1
546,military,182.67,2
547,voice,182.6,1
548,finally,182.51,1
549,department,182.45,1
550,toward,182.05,1
551,leader,181.84,1
552,inside,181.24,3
553,land,180.99,2
554,photo,179.23,1
555,wear,179.04,1
556,space,178.37,1
557,special,177.76,1
558,lie,177.75,2
559,patient,176.73000000000002,2
560,film,176.67,1
561,catch,176.0,2
562,guess,175.4,2
563,type,175.2,1
564,arm,175.19,2
565,town,175.13,1
566,article,175.04,1
567,approach,175.0,2
568,charge,174.84,3
569,road,174.63,1
570,chance,174.03,1
571,drug,173.97,1
572,economic,173.36,1
573,press,172.62,2
574,situation,172.23,1
575,choose,171.92,1
576,happy,171.77,1
577,science,171.69,1
578,join,171.5,1
579,risk,171.06,2
580,campaign,170.92999999999998,2
581,teach,170.87,1
582,develop,170.08,1
583,yourself,170.03,1
584,carry,170.01,1
585,brother,168.59,1
586,dead,168.48,1
587,above,168.26,3
588,image,168.23,1
589,simply,167.73,1
590,middle,167.14999999999998,2
591,society,166.93,1
592,piece,166.7,1
593,paper,166.23,1
594,energy,165.78,1
595,personal,165.42,1
596,stuff,165.31,2
597,building,165.27,1
598,drop,164.57,2
599,doctor,164.28,1
600,activity,164.09,1
601,exactly,163.81,1
602,wonder,163.79,2
603,short,163.59,2
604,media,163.32,1
605,evidence,163.19,1
606,product,163.14,1
607,realize,162.9,1
608,save,162.6,1
609,race,162.09,2
610,technology,161.95,1
611,term,161.14,1
612,color,161.14,1
613,describe,160.64,1
614,choice,160.4,1
615,source,159.7,1
616,mom,159.62,1
617,director,159.14,1
618,international,158.83,1
619,ground,157.81,1
620,election,157.63,1
621,uh,157.43,1
622,measure,156.64,2
623,park,156.07999999999998,2
624,standard,156.0,2
625,page,155.95,1
626,itself,155.59,1
627,response,155.49,2
628,produce,155.16,1
629,certain,155.14,1
630,whatever,154.95,1
631,benefit,154.92,2
632,visit,154.81,2
633,video,154.64,1
634,store,154.53,2
635,alone,154.51,2
636,throw,153.46,1
637,third,153.41,1
638,near,152.94,3
639,recent,152.76,1
640,key,152.7,2
641,available,152.47,1
642,opportunity,152.29,1
643,rise,151.7,2
644,oil,151.47,1
645,release,150.68,2
646,organization,150.31,1
647,character,149.87,1
648,single,149.84,1
649,current,149.43,1
650,ready,149.22,1
651,address,149.22,2
652,county,149.21,1
653,dad,148.56,1
654,whose,148.53,1
655,challenge,148.34,2
656,shoot,148.17,1
657,industry,147.78,1
658,attention,146.69,1
659,forget,146.58,1
660,deep,146.47,2
661,plant,146.39000000000001,2
662,dog,145.66,1
663,red,145.14,1
664,hair,144.89,1
665,condition,144.74,1
666,sleep,144.63,2
667,subject,144.46,2
668,wall,144.4,1
669,daughter,143.75,1
670,review,143.49,2
671,account,143.43,2
672,author,143.35,1
673,truth,143.01,1
674,average,142.94,3
675,upon,142.41,1
676,husband,142.28,1
677,period,142.16,1
678,series,141.22,1
679,officer,140.92,1
680,feature,140.7,2
681,wish,140.29,2
682,dark,140.07,2
683,computer,140.06,1
684,thought,139.99,1
685,economy,139.73,1
686,goal,139.67,1
687,bank,139.65,1
688,behavior,139.37,1
689,certainly,139.13,1
690,nearly,139.0,1
691,fear,138.98,2
692,complete,138.92000000000002,2
693,dream,138.77,2
694,north,138.63,1
695,blood,138.42,1
696,culture,138.1,1
697,interview,138.08,2
698,medical,137.81,1
699,everybody,137.75,1
700,ok,137.75,1
701,drink,137.62,2
702,difficult,137.43,1
703,language,137.08,1
704,window,137.0,1
705,population,136.69,1
706,tree,136.62,1
707,judge,136.53,2
708,worker,136.19,1
709,date,135.98000000000002,2
710,draw,135.97,1
711,worry,135.94,2
712,push,135.15,1
713,earth,135.14,1
714,per,134.92,1
715,private,134.85,1
716,hundred,134.4,2
717,tonight,134.28,1
718,thousand,134.17000000000002,2
719,letter,133.76,1
720,gun,133.5,1
721,mention,133.37,2
722,simple,132.93,1
723,involve,132.2,1
724,hell,132.19,1
725,fast,132.14,2
726,poor,132.03,1
727,score,131.98,2
728,concern,131.86,2
729,laugh,131.67,2
730,nature,131.29,1
731,common,131.21,1
732,administration,131.21,1
733,message,130.71,1
734,sort,130.7,2
735,song,130.56,1
736,enjoy,130.49,1
737,similar,130.18,1
738,smile,129.98000000000002,2
739,congress,129.83,1
740,fund,129.76,2
741,fun,129.73000000000002,2
742,finish,129.28,2
743,hot,129.21,1
744,left,129.15,2
745,travel,129.05,2
746,amount,128.97,1
747,analysis,128.93,1
748,defense,128.82,1
749,bill,128.82,1
750,final,128.79000000000002,2
751,cell,128.72,1
752,seek,128.45,1
753,hospital,128.21,1
754,performance,128.21,1
755,bed,128.13,1
756,board,128.1,1
757,trade,128.07999999999998,2
758,green,127.8,2
759,attempt,127.72,2
760,century,127.56,1
761,protect,127.56,1
762,summer,127.31,1
763,material,127.14,1
764,recently,126.41,1
765,example,126.32,1
766,represent,126.21,1
767,fill,126.13,1
768,blue,125.91,2
769,total,125.78,2
770,animal,125.71,1
771,fail,125.55,1
772,particular,124.94000000000001,2
773,factor,124.79,1
774,range,124.78,2
775,search,124.75,2
776,natural,124.66,1
777,sir,124.5,1
778,agency,124.39,1
779,usually,124.17,1
780,significant,123.9,1
781,ability,123.81,1
782,mile,123.76,1
783,statement,123.72,1
784,access,123.71000000000001,2
785,notice,123.57,2
786,entire,123.26,1
787,democrat,123.18,1
788,floor,123.15,1
789,serious,123.11,1
790,coach,123.05000000000001,2
791,billion,122.99000000000001,2
792,ahead,122.97,2
793,dollar,122.84,1
794,hurt,122.35,2
795,career,122.21,1
796,sex,122.2,1
797,compare,121.83,1
798,south,121.74,1
799,forward,121.72,1
800,file,121.68,2
801,financial,121.57,1
802,identify,121.54,1
803,beautiful,121.53,1
804,touch,121.47999999999999,2
805,decade,121.39,1
806,reduce,121.24,1
807,quality,121.08,1
808,lack,121.08,2
809,quickly,120.98,1
810,fan,120.87,2
811,promise,120.84,2
812,beat,120.2,2
813,accept,120.08,1
814,enter,119.96,1
815,thus,119.49,1
816,demand,119.41,2
817,movement,118.95,1
818,sister,118.94,1
819,scene,118.83,1
820,stick,118.8,2
821,chief,118.65,2
822,section,117.99,1
823,hate,117.97,2
824,treatment,117.71,1
825,interesting,117.59,1
826,west,117.5,1
827,rock,117.28,2
828,candidate,117.16,1
829,link,117.12,2
830,determine,116.95,1
831,resource,116.89,1
832,prove,116.72,1
833,trust,116.6,2
834,potential,116.43,2
835,size,116.2,1
836,knowledge,116.17,1
837,somebody,116.17,1
838,limit,115.77,2
839,hang,115.77,1
840,sport,115.7,1
841,tv,115.67,1
842,loss,115.44,1
843,argue,115.23,1
844,meeting,115.01,1
845,skill,114.71,1
846,cold,114.69,2
847,card,114.27,1
848,feeling,114.21,1
849,despite,114.05,1
850,degree,113.84,1
851,crime,113.77,1
852,occur,113.37,1
853,imagine,113.36,1
854,due,113.22,2
855,king,112.88,1
856,box,112.82,1
857,cup,112.65,1
858,photograph,112.5,2
859,seven,112.43,1
860,cool,112.41000000000001,2
861,credit,112.38,2
862,foreign,112.29,1
863,disease,112.22,1
864,debate,112.22,2
865,lady,112.17,1
866,ride,112.00999999999999,2
867,beyond,112.0,1
868,discuss,111.96,1
869,track,111.83,2
870,ball,111.55,1
871,east,111.37,1
872,professional,111.32,2
873,recognize,111.18,1
874,apply,111.1,1
875,prepare,111.04,1
876,network,110.98,1
877,huge,110.86,1
878,fly,110.82000000000001,2
879,success,110.8,1
880,district,110.71,1
881,direct,110.55000000000001,2
882,clean,110.47,2
883,physical,110.35,1
884,growth,110.34,1
885,worth,109.73,2
886,hi,109.43,1
887,block,108.63,2
888,theory,108.24,1
889,staff,108.15,1
890,respect,108.03,3
891,legal,107.89,1
892,september,107.68,1
893,count,107.37,2
894,target,107.3,2
895,et,107.29,1
896,strategy,106.98,1
897,clearly,106.71,1
898,property,106.59,1
899,lay,106.56,1
900,authority,106.33,1
901,perfect,106.3,1
902,method,106.29,1
903,strike,106.17,2
904,region,106.12,1
905,impact,106.07,1
906,indicate,106.04,1
907,committee,105.87,1
908,supposed,105.78,1
909,dress,105.69999999999999,2
910,safe,105.67,1
911,train,105.57,2
912,influence,105.56,2
913,wind,105.55000000000001,2
914,march,105.31,2
915,training,105.3,1
916,shit,105.23,1
917,central,105.14,1
918,option,104.98,1
919,gain,104.82,2
920,eight,104.79,1
921,particularly,104.75,1
922,completely,104.67,1
923,opinion,104.65,1
924,main,104.53,1
925,ten,104.41,1
926,exist,104.28,1
927,remove,104.21,1
928,online,103.82000000000001,2
929,content,103.71,2
930,living,103.58000000000001,2
931,union,103.53,1
932,professor,103.46,1
933,pressure,103.39,1
934,purpose,103.36,1
935,stage,103.33,1
936,christian,103.27,2
937,herself,102.87,1
938,sun,102.76,1
939,pain,102.63,1
940,artist,102.58,1
941,employee,102.53,1
942,avoid,102.51,1
943,environment,102.19,1
944,treat,102.15,1
945,male,101.95,2
946,specific,101.93,1
947,fuck,101.92,2
948,version,101.8,1
949,shot,101.73,1
950,female,101.49000000000001,2
951,reality,101.41,1
952,club,101.12,1
953,justice,101.07,1
954,river,100.97,1
955,memory,100.94,1
956,brain,100.94,1
957,below,100.89,2
958,contact,100.83,2
959,favorite,100.74000000000001,2
960,camera,100.56,1
961,global,100.55,1
962,various,100.54,1
963,arrive,100.52,1
964,detail,100.18,1
965,argument,100.1,1
966,murder,99.97,2
967,nobody,99.72,1
968,roll,99.65,2
969,weapon,99.52,1
970,station,99.41,1
971,island,99.29,1
972,absolutely,99.27,1
973,discussion,99.05,1
974,associate,98.94,3
975,affect,98.76,1
976,firm,98.61000000000001,2
977,anyway,98.52,1
978,respond,98.44,1
979,ship,98.3,2
980,spot,98.17,2
981,trouble,98.12,1
982,conversation,97.88,1
983,manage,97.82,1
984,except,97.75,2
985,army,97.71,1
986,seat,97.53,1
987,assume,97.52,1
988,writer,96.96,1
989,perform,96.88,1
990,marriage,96.56,1
991,operation,96.55,1
992,indeed,96.53,1
993,spring,96.35,2
994,necessary,96.25,1
995,heat,96.25,2
996,secret,96.24000000000001,2
997,reveal,96.07,1
998,agent,96.04,1
999,bar,95.97,1
1000,leg,95.85,1
1001,contain,95.81,1
1002,democratic,95.53,1
1003,glass,95.47,1
1004,improve,95.43,1
1005,adult,95.21,1
1006,religious,95.15,1
1007,welcome,95.1,2
1008,association,94.76,1
1009,stock,94.47,1
1010,gas,94.42,1
1011,lawyer,94.18,1
1012,production,94.16,1
1013,handle,94.13,2
1014,relate,94.09,1
1015,bear,94.05,2
1016,management,93.94,1
1017,original,93.89,1
1018,victim,93.86,1
1019,cancer,93.81,1
1020,speech,93.49,1
1021,trial,93.41,1
1022,none,93.38,1
1023,cross,93.19,2
1024,weight,93.17,1
1025,tomorrow,93.16,1
1026,item,93.14,1
1027,struggle,93.03,2
1028,dance,92.93,2
1029,feed,92.89,2
1030,positive,92.87,1
1031,citizen,92.83,1
1032,fit,92.58000000000001,2
1033,trip,92.48,1
1034,establish,92.42,1
1035,executive,92.34,1
1036,english,92.33,2
1037,politics,92.26,1
1038,customer,92.21,1
1039,manager,92.17,1
1040,tie,92.09,2
1041,publish,92.08,1
1042,popular,92.08,1
1043,sing,92.04,1
1044,conference,91.83,1
1045,senior,91.78,2
1046,discover,91.6,1
1047,direction,91.46,1
1048,sunday,91.41,1
1049,maintain,91.37,1
1050,straight,91.34,2
1051,majority,91.18,1
1052,peace,91.15,1
1053,dinner,91.15,1
1054,mine,91.12,2
1055,user,90.98,1
1056,partner,90.98,1
1057,blow,90.94999999999999,2
1058,bag,90.87,1
1059,conduct,90.85,2
1060,therefore,90.61,1
1061,rich,90.34,1
1062,tough,90.24,1
1063,owner,90.24,1
1064,shall,90.21,1
1065,voter,89.87,1
1066,june,89.86,1
1067,tool,89.86,1
1068,slow,89.81,2
1069,mountain,89.61,1
1070,friday,89.25,1
1071,attorney,89.24,1
1072,unless,89.23,1
1073,nor,89.05,1
1074,expert,88.75,1
1075,document,88.73,2
1076,structure,88.73,1
1077,shape,88.7,2
1078,function,88.7,2
1079,budget,88.7,1
1080,insurance,88.65,1
1081,text,88.43,1
1082,crazy,88.42,1
1083,freedom,88.42,1
1084,reader,88.04,1
1085,cry,87.96000000000001,2
1086,style,87.86,1
1087,machine,87.77,1
1088,battle,87.72999999999999,2
1089,november,87.72,1
1090,generation,87.68,1
1091,income,87.51,1
1092,born,87.44,1
1093,admit,87.24,1
1094,object,87.22,2
1095,hello,87.22,1
1096,onto,87.21,1
1097,sea,87.15,1
1098,mouth,87.01,1
1099,throughout,86.99,1
1100,conservative,86.75,2
1101,web,86.47,1
1102,shake,86.44,1
1103,threat,86.36,1
1104,solution,86.26,1
1105,shut,86.23,1
1106,scientist,86.03,1
1107,hide,86.0,1
1108,obviously,85.96,1
1109,refer,85.81,1
1110,damage,85.76,2
1111,mark,85.61,2
1112,investigation,85.38,1
1113,jump,85.27,2
1114,senator,85.14,1
1115,unit,85.11,1
1116,july,85.03,1
1117,television,85.03,1
1118,sexual,84.81,1
1119,radio,84.81,1
1120,prevent,84.77,1
1121,modern,84.53,1
1122,senate,84.52,1
1123,violence,84.47,1
1124,wave,84.14,2
1125,audience,84.08,1
1126,evening,83.9,1
1127,whom,83.85,1
1128,ring,83.67,2
1129,hall,83.54,1
1130,task,83.42,1
1131,bottom,83.39,2
1132,wake,83.38,2
1133,skin,83.18,1
1134,suffer,83.16,1
1135,civil,83.12,1
1136,wide,83.11,1
1137,safety,83.11,1
1138,weekend,83.01,1
1139,supply,82.82,2
1140,title,82.74,1
1141,host,82.66,2
1142,normal,82.65,1
1143,survey,82.64,2
1144,yard,82.43,1
1145,finger,82.39,1
1146,fat,82.37,2
1147,shop,82.24,2
1148,tend,82.24,1
1149,surprise,82.14,2
1150,mission,82.1,1
1151,eventually,82.05,1
1152,participant,81.94,1
1153,hotel,81.94,1
1154,pattern,81.67,1
1155,shift,81.63,2
1156,speed,81.62,2
1157,institution,81.57,1
1158,faith,81.48,1
1159,reflect,81.42,1
1160,folk,81.41,1
1161,surface,81.39,1
1162,exercise,81.29,2
1163,separate,81.16,2
1164,client,81.15,1
1165,edge,81.14,1
1166,traditional,81.04,1
1167,council,81.03,1
1168,device,80.96,1
1169,environmental,80.89,1
1170,responsibility,80.86,1
1171,fucking,80.81,2
1172,chair,80.75,1
1173,guard,80.72,2
1174,internet,80.71,1
1175,october,80.66,1
1176,excuse,80.62,2
1177,warm,80.55,2
1178,funny,80.49,1
1179,immediately,80.42,1
1180,investment,80.39,1
1181,effective,80.19,1
1182,previous,80.09,1
1183,consumer,80.05,1
1184,honor,80.02,2
1185,element,80.0,1
1186,nuclear,79.99,1
1187,daily,79.81,2
1188,correct,79.77000000000001,2
1189,spirit,79.68,1
1190,directly,79.68,1
1191,afraid,79.53,1
1192,define,79.51,1
1193,announce,78.98,1
1194,journal,78.91,1
1195,tear,78.9,2
1196,heavy,78.88,1
1197,ice,78.87,1
1198,primary,78.84,2
1199,soldier,78.83,1
1200,collection,78.83,1
1201,governor,78.74,1
1202,fish,78.66,1
1203,shoulder,78.61,1
1204,cultural,78.57,1
1205,successful,78.55,1
1206,fair,78.32,1
1207,suddenly,78.27,1
1208,match,78.23,2
1209,interested,78.18,1
1210,deliver,77.88,1
1211,saturday,77.83,1
1212,editor,77.82,1
1213,fresh,77.74,1
1214,anybody,77.69,1
1215,destroy,77.63,1
1216,suit,77.63,2
1217,critical,77.57,1
1218,mass,77.56,2
1219,agreement,77.33,1
1220,powerful,77.31,1
1221,researcher,77.28,1
1222,concept,77.22,1
1223,willing,77.17,1
1224,band,76.96,1
1225,marry,76.95,1
1226,easily,76.88,1
1227,restaurant,76.73,1
1228,league,76.71,1
1229,capital,76.55,1
1230,anymore,76.44,1
1231,april,76.44,1
1232,etc,76.26,1
1233,quick,76.17,1
1234,magazine,76.15,1
1235,status,76.11,1
1236,attend,75.98,1
1237,replace,75.97,1
1238,european,75.96000000000001,2
