,science
1890,7.186561560956761e-05
1891,7.126522541511804e-05
1892,7.061043288558722e-05
1893,7.223262946354225e-05
1894,7.322499732254073e-05
1895,6.952880357857794e-05
1896,7.037970499368384e-05
1897,7.077906047925353e-05
1898,6.882736488478258e-05
1899,6.589110125787556e-05
1900,6.544295320054516e-05
1901,6.62634993204847e-05
1902,6.41156075289473e-05
1903,6.288306758506224e-05
1904,6.313866470009089e-05
1905,6.121534534031525e-05
1906,6.0152564401505515e-05
1907,5.612154200207442e-05
1908,5.5859960411908105e-05
1909,5.5200071074068546e-05
1910,5.831205635331571e-05
1911,5.608971696346998e-05
1912,5.74834703002125e-05
1913,5.6728811614448205e-05
1914,5.4979202104732394e-05
1915,5.3952986490912735e-05
1916,5.2515926654450595e-05
1917,5.700565452571027e-05
1918,5.558592965826392e-05
1919,5.6912056606961414e-05
1920,5.6204942666227e-05
1921,5.469331154017709e-05
1922,5.4862168326508254e-05
1923,5.5222051742020994e-05
1924,5.6328633945668116e-05
1925,6.457667768700048e-05
1926,6.197729089763016e-05
1927,6.276745989453048e-05
1928,6.529165693791583e-05
1929,6.386802851920947e-05
1930,6.589661643374711e-05
1931,6.341582047753036e-05
1932,6.065314300940372e-05
1933,6.0514976212289184e-05
1934,6.558328459504992e-05
1935,6.041693268343806e-05
1936,6.216791371116415e-05
1937,6.360929546644911e-05
1938,6.084819324314594e-05
1939,5.834047988173552e-05
1940,5.849063745699823e-05
1941,5.457524457597174e-05
1942,6.135891453595832e-05
1943,5.456198414321989e-05
1944,5.7653800467960536e-05
1945,5.9255868109175935e-05
1946,6.370650953613222e-05
1947,6.410578498616815e-05
1948,6.57427663099952e-05
1949,6.361521809594706e-05
1950,6.382339779520407e-05
1951,6.147743988549337e-05
1952,6.677307828795165e-05
1953,6.532500992761925e-05
1954,6.615983875235543e-05
1955,6.510956154670566e-05
1956,7.181324326666072e-05
1957,7.2496994107496e-05
1958,8.275626896647736e-05
1959,8.003064431250095e-05
1960,8.168030035449192e-05
1961,8.284376963274553e-05
1962,8.336629252880812e-05
1963,8.491558401146904e-05
1964,8.144440653268248e-05
1965,8.709471876500174e-05
1966,8.24553135316819e-05
1967,8.373797754757106e-05
1968,8.761746721575037e-05
1969,8.136923861457035e-05
1970,8.381352381547913e-05
1971,7.997543434612453e-05
1972,7.994250336196274e-05
1973,7.583732804050669e-05
1974,7.379540329566225e-05
1975,7.302597805391997e-05
1976,7.474012818420306e-05
1977,7.650667248526588e-05
1978,7.216640369733796e-05
1979,7.199905667221174e-05
1980,7.334413385251537e-05
1981,7.1161070081871e-05
1982,7.578513032058254e-05
1983,7.606120925629511e-05
1984,7.563735562143847e-05
1985,7.574693154310808e-05
1986,7.895531598478556e-05
1987,7.827169611118734e-05
1988,7.854800060158595e-05
1989,8.211745443986729e-05
1990,8.469730528304353e-05
1991,7.770946831442416e-05
1992,8.001246169442311e-05
1993,7.9740108049009e-05
1994,8.436450298177078e-05
1995,8.247375080827624e-05
1996,8.495554357068613e-05
1997,8.564150630263612e-05
1998,8.535647066310048e-05
1999,8.26241375762038e-05
2000,8.75812183949165e-05
2001,8.203720062738284e-05
2002,9.052815585164353e-05
2003,8.428565342910588e-05
2004,8.586352487327531e-05
2005,8.763145888224244e-05
2006,8.922788401832804e-05
2007,8.780529606156051e-05
2008,8.29817945486866e-05
2009,8.25144670670852e-05
2010,8.047472510952502e-05
2011,7.515935431001708e-05
2012,7.418844325002283e-05
2013,8.243327465606853e-05
2014,7.777457358315587e-05
2015,7.678320253035054e-05
2016,8.24912276584655e-05
2017,7.726059266133234e-05
2018,7.532985182479024e-05
2019,7.86047094152309e-05
