,customer
2010,4.421230187290348e-05
2011,4.186655132798478e-05
2012,3.9750346331857145e-05
2013,3.5689710784936324e-05
2014,3.5501885577104986e-05
2015,3.515364369377494e-05
2016,3.837377153104171e-05
2017,3.113780985586345e-05
2018,2.851258250302635e-05
2019,3.273219408583827e-05
