,pm
1943,4.4939599774806993e-07
1944,9.210415328197996e-07
1945,1.2808214933102136e-06
1946,3.157993887725752e-06
1947,1.6919952940952498e-06
1948,8.501984325448575e-07
1949,1.0531875886954367e-06
1950,1.3346909781830618e-06
1951,1.1093795819760999e-06
1952,1.2267395277376636e-06
1953,1.3971161934023257e-06
1954,2.9505388283723732e-06
1955,1.6756888499003253e-06
1956,1.2667176179093076e-06
1957,1.1795085583798937e-06
1958,1.3913177099311724e-06
1959,1.2771574802172836e-06
1960,1.7659235709288623e-06
1961,1.4015688520885305e-06
1962,1.9872702523571206e-06
1963,2.1719408778153593e-06
1964,2.0471741208893945e-06
1965,2.7625844722933834e-06
1966,2.246541271233582e-06
1967,2.835599616446416e-06
1968,2.676540816537454e-06
1969,3.5104051221424015e-06
1970,3.3645246730884537e-06
1971,4.00877161155222e-06
1972,4.455982434592443e-06
1973,5.518160833162256e-06
1974,5.278856406221166e-06
1975,5.521103503269842e-06
1976,5.407217486208538e-06
1977,6.0717961787304375e-06
1978,6.02099589741556e-06
1979,7.271185950230574e-06
1980,7.065135832817759e-06
1981,7.497619662899524e-06
1982,7.113786523404997e-06
1983,8.37694915389875e-06
1984,8.7613589130342e-06
1985,7.343939159909496e-06
1986,8.191264896595385e-06
1987,9.594553375791293e-06
1988,8.54363042890327e-06
1989,9.04939224710688e-06
1990,8.780203643254936e-06
1991,9.602712452760898e-06
1992,1.1400470611988567e-05
1993,1.0337447747588158e-05
1994,1.1597018783504609e-05
1995,1.1385603102098685e-05
1996,1.1751995771192014e-05
1997,1.2156579941802192e-05
1998,1.1039058335882146e-05
1999,1.2022022019664291e-05
2000,1.1024402738257777e-05
2001,1.1118883776362054e-05
2002,8.853587132762186e-06
2003,9.23857260204386e-06
2004,8.993290066428017e-06
2005,9.324619895778596e-06
2006,8.892061487131286e-06
2007,7.817922778485809e-06
2008,6.581170509889489e-06
2009,5.9500189308892e-06
2010,6.176716851769015e-06
2011,6.116345048212679e-06
2012,7.234661552502075e-06
2013,5.641040843329392e-06
2014,4.41182783106342e-06
2015,4.31398530054139e-06
2016,4.098450062883785e-06
2017,3.7178033380769193e-06
2018,3.621014229793218e-06
2019,3.84567692890414e-06
