,march
1908,1.6588097423664294e-05
1909,1.644061012484599e-05
1910,1.724327012198046e-05
1911,1.5969815649441443e-05
1912,1.4927892152627464e-05
1913,1.4118567378318403e-05
1914,1.636955676076468e-05
1915,1.3943602425570134e-05
1916,1.329735096078366e-05
1917,1.480821447330527e-05
1918,1.3099892385071144e-05
1919,1.1794232705142349e-05
1920,1.2024302122881636e-05
1921,1.116126531996997e-05
1922,1.179679293272784e-05
1923,1.264536604139721e-05
1924,1.2355108083283994e-05
1925,1.1985104720224626e-05
1926,1.3825553651258815e-05
1927,1.3554510587709956e-05
1928,1.410049299011007e-05
1929,1.3290802598930895e-05
1930,1.400763721903786e-05
1931,1.4004500371811446e-05
1932,1.3166719327273313e-05
1933,1.1638675459835213e-05
1934,1.2759053788613528e-05
1935,1.2347992196737323e-05
1936,1.27345701912418e-05
1937,1.3317742741492111e-05
1938,1.247608452104032e-05
1939,1.2452936061890796e-05
1940,1.2076511666236911e-05
1941,1.1522254681040067e-05
1942,1.3429728824121412e-05
1943,1.227019038196886e-05
1944,1.1686473953886889e-05
1945,9.892280104395468e-06
1946,1.0313149687135592e-05
1947,9.986105396819767e-06
1948,9.523116204945836e-06
1949,9.293348739447538e-06
1950,9.666773621574976e-06
1951,9.451511687075254e-06
1952,1.0609481250867248e-05
1953,8.876117135514505e-06
1954,9.090833373193163e-06
1955,8.672455805935897e-06
1956,9.494670848653186e-06
1957,9.035209586727433e-06
1958,9.86442591965897e-06
1959,9.247159141523298e-06
1960,9.539965503790881e-06
1961,9.35151274461532e-06
1962,9.930342457664665e-06
1963,9.801860869629309e-06
1964,9.573176612320822e-06
1965,1.103091381082777e-05
1966,1.0362514331063721e-05
1967,1.0932259101537056e-05
1968,1.2749605048156809e-05
1969,1.1857280696858652e-05
1970,1.121425702876877e-05
1971,1.174020508187823e-05
1972,9.666274308983702e-06
1973,8.206339771277271e-06
1974,7.639996510988567e-06
1975,7.505282155761961e-06
1976,7.683755029574968e-06
1977,7.210165222204523e-06
1978,6.801194558647694e-06
1979,6.89860917191254e-06
1980,7.163459486037027e-06
1981,6.506596491817618e-06
1982,6.637868864345364e-06
1983,6.605042926821625e-06
1984,6.858197139081312e-06
1985,1.0700449820433278e-05
1986,6.680213573417859e-06
1987,6.70699728289037e-06
1988,7.190113592514535e-06
1989,7.286093932634685e-06
1990,7.6147653089719824e-06
1991,7.548672783741495e-06
1992,7.250307135109324e-06
1993,7.341110631386982e-06
1994,7.135703526728321e-06
1995,7.371579613391077e-06
1996,7.733933671261184e-06
1997,7.983404429978691e-06
1998,8.255195098172408e-06
1999,8.450530913250986e-06
2000,8.71561496751383e-06
2001,8.712273483979516e-06
2002,8.664608685649e-06
2003,8.527807040081825e-06
2004,9.7298843684257e-06
2005,9.515863894193899e-06
2006,1.0329406904929783e-05
2007,1.0335982551623601e-05
2008,1.1649021871562582e-05
2009,1.1797759725595824e-05
2010,1.1576934412005357e-05
2011,1.1159304449392948e-05
2012,9.704200238047633e-06
2013,1.0298765118932351e-05
2014,1.1726202501449734e-05
2015,1.1974550034210552e-05
2016,1.0613448466756381e-05
2017,1.1496490515128244e-05
2018,1.3414893146546092e-05
2019,1.214703206642298e-05
