,pictures
1988,2.13010953302728e-05
1989,2.197023422922939e-05
1990,2.1285026377881877e-05
1991,2.085975938825868e-05
1992,2.1149779058760032e-05
1993,2.0993327780161053e-05
1994,2.2301837816485204e-05
1995,2.1546720745391212e-05
1996,2.3631821022718213e-05
1997,2.379370926064439e-05
1998,2.412493631709367e-05
1999,2.475596011208836e-05
2000,2.5445222490816377e-05
2001,2.4997782020363957e-05
2002,2.574714380898513e-05
2003,2.6335150323575363e-05
2004,2.734983354457654e-05
2005,2.7545711418497376e-05
2006,2.7587811928242445e-05
2007,2.9095725039951503e-05
2008,2.9246632038848475e-05
2009,3.122467387584038e-05
2010,3.113177081104368e-05
2011,3.20204853778705e-05
2012,2.992713598359842e-05
2013,3.110219768132083e-05
2014,3.1498642783844844e-05
2015,3.089049278059974e-05
2016,2.8344657039269805e-05
2017,2.986201252497267e-05
2018,2.7955744371865876e-05
2019,2.8164757168269716e-05
