,info
1945,3.7486609016923467e-07
1946,5.481324478751048e-07
1947,4.389015373362781e-07
1948,5.335583068699634e-07
1949,4.4203295601619175e-07
1950,4.5084647126714117e-07
1951,9.589166438672692e-07
1952,5.187899887459935e-07
1953,3.173003051415435e-07
1954,2.7953080916631734e-07
1955,5.521220600712695e-07
1956,3.2925430559771485e-07
1957,4.571510032747028e-07
1958,4.855864403907617e-07
1959,4.2358223595329036e-07
1960,5.142730401530571e-07
1961,4.76881666600093e-07
1962,5.273930696603202e-07
1963,6.323493835225236e-07
1964,5.105525815451983e-07
1965,4.2654562548705144e-07
1966,5.847038551110018e-07
1967,6.404855525943276e-07
1968,6.817231223976705e-07
1969,8.326071565534221e-07
1970,8.827520332488348e-07
1971,7.864786084610387e-07
1972,9.115937587012013e-07
1973,1.0577518878562842e-06
1974,1.1497431842144579e-06
1975,1.2580222801261698e-06
1976,1.1612936532401363e-06
1977,1.157988322120218e-06
1978,1.1147237728437176e-06
1979,1.5751967339383555e-06
1980,1.6580156625423115e-06
1981,1.847587327574729e-06
1982,1.5748802297821385e-06
1983,1.979049784495146e-06
1984,4.297095074434765e-06
1985,3.2119714887812734e-06
1986,3.116565949312644e-06
1987,2.972146376123419e-06
1988,2.713769163165125e-06
1989,3.0499611511913827e-06
1990,2.816132791849668e-06
1991,4.211961368127959e-06
1992,2.6454918042873032e-06
1993,3.336580221002805e-06
1994,3.7515844724111957e-06
1995,4.302886736695655e-06
1996,4.589977379509946e-06
1997,3.806815129792085e-06
1998,4.223433279548772e-06
1999,4.172240096522728e-06
2000,4.223152700433275e-06
2001,3.7737156617367873e-06
2002,4.322548193158582e-06
2003,4.302322395233205e-06
2004,4.151579105382552e-06
2005,4.0528393583372235e-06
2006,4.265134975867113e-06
2007,3.875030870403862e-06
2008,3.462399263298721e-06
2009,3.413391823414713e-06
2010,3.301287051726831e-06
2011,3.4013810363831e-06
2012,2.7422604489402147e-06
2013,2.586576783869532e-06
2014,2.952852355520008e-06
2015,3.014504500242765e-06
2016,2.94064921035897e-06
2017,2.9201310098869726e-06
2018,2.749831310211448e-06
2019,2.9698392154386966e-06
