,web
1963,5.447083822218701e-06
1964,6.581558864127146e-06
1965,6.29577925792546e-06
1966,6.215165285539115e-06
1967,5.690651960321702e-06
1968,6.02647469349904e-06
1969,5.1551228352764156e-06
1970,5.127304575580638e-06
1971,5.090350441605551e-06
1972,5.21104630024638e-06
1973,5.104660885990597e-06
1974,5.172591045266017e-06
1975,4.92715207656147e-06
1976,4.672619525081245e-06
1977,5.31771229361766e-06
1978,4.8267988859151956e-06
1979,5.067508482170524e-06
1980,5.388803856476443e-06
1981,4.963399078405928e-06
1982,5.425516519608209e-06
1983,5.372936811909312e-06
1984,5.219728336669505e-06
1985,5.333052286005113e-06
1986,5.757757662649965e-06
1987,5.438446805783315e-06
1988,5.449870059237583e-06
1989,5.627010978059843e-06
1990,5.864735157956602e-06
1991,6.013212896505138e-06
1992,6.0376387409633026e-06
1993,6.06490812060656e-06
1994,7.261104201461421e-06
1995,7.945698598632589e-06
1996,1.1795732461905573e-05
1997,1.7338248653686605e-05
1998,2.08406345336698e-05
1999,2.600717380119022e-05
2000,3.0392508051590994e-05
2001,3.234954419895075e-05
2002,3.471496165730059e-05
2003,3.4399243304505944e-05
2004,3.362615098012611e-05
2005,3.250242298236117e-05
2006,3.553275382728316e-05
2007,3.230698348488659e-05
2008,3.190366260241717e-05
2009,3.126016235910356e-05
2010,3.444481990300119e-05
2011,3.505338099785149e-05
2012,3.0223061912693083e-05
2013,2.865695751097519e-05
2014,2.73360637947917e-05
2015,2.5738620024640113e-05
2016,2.5536492103128694e-05
2017,6.660610961262137e-05
2018,3.361426934134215e-05
2019,2.2525040549226105e-05
