,video
1877,1.224014027911835e-07
1878,8.789203320702654e-08
1879,9.096179809375826e-08
1880,1.1327836801910962e-07
1881,1.0032901798240346e-07
1882,1.309966251028527e-07
1883,8.862961209388232e-08
1884,7.424227987939958e-08
1885,1.1797087040577026e-07
1886,7.712642968726868e-08
1887,6.70629773935616e-08
1888,8.065568835036174e-08
1889,7.299947668570894e-08
1890,9.94270195064928e-08
1891,1.0774134295843396e-07
1892,7.382809741329766e-08
1893,6.569290889046897e-08
1894,6.488320281050619e-08
1895,7.12573893224544e-08
1896,6.182834511037072e-08
1897,5.2423775542820295e-08
1898,6.357713999705084e-08
1899,8.38397227198584e-08
1900,4.4693814515994745e-07
1901,7.904325372010135e-08
1902,6.107122629828154e-08
1903,6.653596784644833e-08
1904,6.71758115800003e-08
1905,4.6403293652019784e-08
1906,4.976201140038938e-08
1907,4.405754339131818e-08
1908,4.482577509179464e-08
1909,4.365917050108692e-08
1910,4.307151257876285e-08
1911,4.3232031288198414e-08
1912,4.3699579066469596e-08
1913,7.472335283864595e-08
1914,5.714178641369472e-08
1915,4.661522368110127e-08
1916,4.263639397095176e-08
1917,5.1566974690331335e-08
1918,9.76246781192458e-08
1919,5.7528218633251527e-08
1920,4.614278736880806e-08
1921,4.348584425883928e-08
1922,4.663746722144424e-08
1923,1.3691295919215918e-07
1924,1.0193269162073193e-07
1925,1.1124087251346282e-07
1926,6.032781385556518e-08
1927,1.3932482545442326e-07
1928,5.507438771701345e-08
1929,7.317009931284701e-08
1930,4.7432259009383415e-08
1931,1.6126307400554651e-07
1932,6.672922125972036e-08
1933,8.290741249084022e-08
1934,5.564021421378129e-07
1935,2.36006883369555e-07
1936,5.651628498526406e-07
1937,3.7730302437921637e-07
1938,3.462683935140376e-07
1939,6.080858270252065e-07
1940,6.72531882628391e-07
1941,4.525338113126054e-07
1942,3.7936004559924186e-07
1943,3.291478094524791e-07
1944,9.563697176417918e-07
1945,8.163362963387044e-07
1946,1.586730832059402e-06
1947,2.2127012471173657e-06
1948,2.776710516627645e-06
1949,2.8249103252164787e-06
1950,2.7531766590982443e-06
1951,2.0022218905069167e-06
1952,2.083492972815293e-06
1953,2.7764665446738945e-06
1954,2.5596821160434047e-06
1955,2.1746736820205115e-06
1956,2.3590337150380947e-06
1957,2.088018618451315e-06
1958,2.0328477603470674e-06
1959,2.421385715933866e-06
1960,2.4334526642633136e-06
1961,2.206785666203359e-06
1962,2.8034605747961905e-06
1963,2.2587296371057164e-06
1964,3.1251649943442317e-06
1965,2.6326856641389895e-06
1966,3.270916977271554e-06
1967,3.2062050649983576e-06
1968,3.575837808966753e-06
1969,3.84296799893491e-06
1970,4.404535047797253e-06
1971,4.920295850752154e-06
1972,5.433744718175149e-06
1973,6.111646143835969e-06
1974,6.440378911065636e-06
1975,6.8624540290329605e-06
1976,7.002082384133246e-06
1977,8.041186447371729e-06
1978,8.939701729104854e-06
1979,9.047269486472942e-06
1980,1.1087242455687374e-05
1981,1.302273176406743e-05
1982,1.6817441064631566e-05
1983,1.8728394934441894e-05
1984,2.0531277186819352e-05
1985,2.1535788619075902e-05
1986,2.3448525098501705e-05
1987,2.2570260625798255e-05
1988,2.3485084966523573e-05
1989,2.668745037226472e-05
1990,2.726482489379123e-05
1991,2.8744529117830098e-05
1992,3.062589530600235e-05
1993,3.397564069018699e-05
1994,3.7352780054789037e-05
1995,3.915085471817292e-05
1996,4.0531460399506614e-05
1997,4.0082359191728756e-05
1998,3.888645369443111e-05
1999,3.704540358739905e-05
2000,3.56999080395326e-05
2001,3.693384860525839e-05
2002,3.75404124497436e-05
2003,3.798574471147731e-05
2004,3.80187775590457e-05
2005,3.6320951039670035e-05
2006,3.43214014719706e-05
2007,3.462351014604792e-05
2008,3.186105459462851e-05
2009,3.4598473575897515e-05
2010,3.599233241402544e-05
2011,3.733711855602451e-05
2012,3.7603160308208317e-05
2013,3.7274599890224636e-05
2014,3.535191353876144e-05
2015,3.632603693404235e-05
2016,3.6994599213358015e-05
2017,3.328281673020683e-05
2018,3.123808346572332e-05
2019,3.4738885005936027e-05
