,tv
1944,2.631271343034314e-07
1945,2.671138759069436e-07
1946,2.64455138676567e-07
1947,3.1274225875677075e-07
1948,3.267568331466464e-07
1949,3.1878266781859566e-07
1950,3.9788068306734203e-07
1951,5.423606808108161e-07
1952,5.140282723914424e-07
1953,1.7269711634071427e-06
1954,3.7299350879038684e-06
1955,4.1598536881792825e-06
1956,2.5783533601497766e-06
1957,3.624997134465957e-06
1958,3.2961233955575153e-06
1959,4.2123474486288615e-06
1960,4.432828518474707e-06
1961,4.346921286924044e-06
1962,3.519564188536606e-06
1963,2.5906906557793263e-06
1964,2.9147195164114237e-06
1965,2.00511431103223e-06
1966,1.7692942719804705e-06
1967,1.6251990473392652e-06
1968,1.6032958001233055e-06
1969,1.674447048571892e-06
1970,1.7635848053032532e-06
1971,1.6572095091760275e-06
1972,1.3571166164183524e-06
1973,1.724102958178264e-06
1974,1.952558477569255e-06
1975,1.6853772422109614e-06
1976,1.8861849184759194e-06
1977,2.153205741706188e-06
1978,1.824078026402276e-06
1979,1.9656065433082404e-06
1980,1.9356252778379712e-06
1981,1.984388518394553e-06
1982,2.0457910068216734e-06
1983,1.316367615800118e-06
1984,1.2402542779454961e-06
1985,1.2871543049186585e-06
1986,1.1483803064038511e-06
1987,9.492776484876231e-07
1988,1.2329468290772638e-06
1989,8.059174660957069e-07
1990,7.395402690235642e-07
1991,7.598211482218176e-07
1992,6.524559239551309e-07
1993,5.954367452432052e-07
1994,8.498005854562507e-07
1995,7.170809226408892e-07
1996,7.811758564457705e-07
1997,9.413475368091895e-07
1998,7.488911819564237e-07
1999,7.05960758295987e-07
2000,1.0025844403571682e-06
2001,8.808410143501533e-07
2002,6.750908596586669e-07
2003,7.566719659735099e-07
2004,8.288463391181722e-07
2005,8.542657496946049e-07
2006,6.95672838446626e-07
2007,7.070109973028593e-07
2008,6.512584036499902e-07
2009,5.434523018266191e-07
2010,4.7319576879090164e-07
2011,4.508952144988143e-07
2012,4.5364561174210394e-07
2013,3.892230893143278e-07
2014,4.3867402155228774e-07
2015,4.652190739307116e-07
2016,4.5008522420175723e-07
2017,4.06401170494064e-07
2018,4.142841873999714e-07
2019,4.762519836276624e-07
