,me
1965,0.00042691631824709475
1966,0.00042487416067160666
1967,0.000432394357630983
1968,0.00044027745025232434
1969,0.0004409971588756889
1970,0.00044403571519069374
1971,0.0003950571990571916
1972,0.0003931123355869204
1973,0.0003780114639084786
1974,0.0003926848585251719
1975,0.0003621926298364997
1976,0.0003674234030768275
1977,0.0003600719792302698
1978,0.0003604071098379791
1979,0.000364784529665485
1980,0.0003623240045271814
1981,0.0003646507684607059
1982,0.0003723063855431974
1983,0.00038002541987225413
1984,0.0003837588301394135
1985,0.0003926052595488727
1986,0.0003969594545196742
1987,0.00040761835407465696
1988,0.00042494648369029164
1989,0.0004259353445377201
1990,0.00042626229696907103
1991,0.00044721312588080764
1992,0.0004472510772757232
1993,0.0004498089256230742
1994,0.00046647278941236436
1995,0.00046623891103081405
1996,0.000489471887703985
1997,0.0005113570368848741
1998,0.0005232563707977533
1999,0.0005489202449098229
2000,0.0006470574880950153
2001,0.0006594154401682317
2002,0.0006848088814876974
2003,0.0007324405596591532
2004,0.0007846911321394145
2005,0.0008148286724463105
2006,0.0008711296832188964
2007,0.0009213917073793709
2008,0.00104341225232929
2009,0.0011873873881995678
2010,0.0012705849949270487
2011,0.0014356942847371101
2012,0.001338990405201912
2013,0.0013525563990697265
2014,0.0016756427939981222
2015,0.0016368876677006483
2016,0.00148390990216285
2017,0.0017790929414331913
2018,0.0017404509708285332
2019,0.0017264860216528177
