,news
1989,4.4983640691498294e-05
1990,4.4843302021035925e-05
1991,4.6544188080588356e-05
1992,4.6460103476420045e-05
1993,4.6155648306012154e-05
1994,5.4373027523979545e-05
1995,4.818003799300641e-05
1996,5.099128247820772e-05
1997,5.330720159690827e-05
1998,5.414786937762983e-05
1999,5.474369754665531e-05
2000,5.8775458455784246e-05
2001,5.853732363902964e-05
2002,5.760226122220047e-05
2003,6.110967660788447e-05
2004,6.25636093900539e-05
2005,6.312017649179325e-05
2006,6.38752753729932e-05
2007,6.587838288396597e-05
2008,6.722346734022722e-05
2009,7.247002213262022e-05
2010,7.361896859947592e-05
2011,7.595725037390366e-05
2012,6.70154913677834e-05
2013,0.00016859566676430404
2014,7.643531716894358e-05
2015,7.664676377316937e-05
2016,7.35605790396221e-05
2017,7.492936856579036e-05
2018,7.572737376904115e-05
2019,7.895869202911854e-05
