,hotel
1955,1.8407985407975502e-05
1956,1.6226153093157336e-05
1957,1.7314327124040574e-05
1958,1.639589754631743e-05
1959,1.6484165826113895e-05
1960,1.7081358237192035e-05
1961,1.6052432329161093e-05
1962,1.5512598110944964e-05
1963,1.5229155906126834e-05
1964,1.4448638467001729e-05
1965,1.5469116988242604e-05
1966,1.499425070505822e-05
1967,1.4574728993466124e-05
1968,1.5423122022184543e-05
1969,1.4879706213832833e-05
1970,1.4810582797508687e-05
1971,1.4050478057470173e-05
1972,1.4608813216909766e-05
1973,1.4258809642342385e-05
1974,1.4801110410189722e-05
1975,1.3623441191157326e-05
1976,1.4221875062503386e-05
1977,1.3874130672775209e-05
1978,1.4279329661803786e-05
1979,1.4836473383184057e-05
1980,1.5357742086052895e-05
1981,1.605560646567028e-05
1982,1.604561839485541e-05
1983,1.7106634913943708e-05
1984,1.711921504465863e-05
1985,1.7629812646191567e-05
1986,1.855668961070478e-05
1987,1.9657492885016836e-05
1988,2.006571776291821e-05
1989,2.1012467186665162e-05
1990,2.093089096888434e-05
1991,2.108105763909407e-05
1992,2.1368956367950886e-05
1993,2.1465222744154744e-05
1994,2.268668686156161e-05
1995,2.199457958340645e-05
1996,2.3296670406125486e-05
1997,2.3908334696898237e-05
1998,2.4110719095915556e-05
1999,2.4535875127185136e-05
2000,2.676455187611282e-05
2001,2.7013940780307166e-05
2002,2.6275736672687344e-05
2003,2.670396315807011e-05
2004,2.8592625312739983e-05
2005,2.972526999656111e-05
2006,3.0144799893605523e-05
2007,3.204090899089351e-05
2008,3.290825043222867e-05
2009,3.501691753626801e-05
2010,3.7353685911512e-05
2011,3.987889431300573e-05
2012,3.534146526362747e-05
2013,3.2579308026470244e-05
2014,3.7693240301450714e-05
2015,3.662559174699709e-05
2016,3.4929213143186644e-05
2017,3.521156759234145e-05
2018,3.335786095703952e-05
2019,3.66050771845039e-05
