,server
1935,3.829732975191291e-07
1936,3.280701434960065e-07
1937,3.6519284662972495e-07
1938,2.681791215763951e-07
1939,3.470588865184254e-07
1940,3.9085713865461e-07
1941,3.759441540296393e-07
1942,2.986785148095805e-07
1943,3.661611458483094e-07
1944,3.0135103656903084e-07
1945,2.85944366851254e-07
1946,2.7436658456281293e-07
1947,3.0862548783261445e-07
1948,3.983621752468025e-07
1949,3.5585043178798514e-07
1950,4.0645721810506075e-07
1951,3.2893561296987173e-07
1952,3.521296036979038e-07
1953,4.475841137718817e-07
1954,4.139095040045504e-07
1955,3.2738674349275243e-07
1956,4.3567442276071233e-07
1957,3.2210905942520185e-07
1958,3.6484931342783966e-07
1959,3.3288870326941833e-07
1960,3.6003572745357815e-07
1961,4.5813629867552663e-07
1962,5.090516879135976e-07
1963,4.2742135519802105e-07
1964,4.2128468180635537e-07
1965,3.8269848801064654e-07
1966,3.6258018099033507e-07
1967,4.076217692272621e-07
1968,5.344319333744352e-07
1969,4.1701142095007526e-07
1970,4.7010354364829254e-07
1971,4.7240791900549084e-07
1972,6.341630864881154e-07
1973,4.7200128960867005e-07
1974,6.681668196506507e-07
1975,6.428281835724192e-07
1976,5.510930236596323e-07
1977,7.161573876146576e-07
1978,7.517587619076949e-07
1979,7.16238901077304e-07
1980,6.868601190035406e-07
1981,9.240792451237212e-07
1982,1.0442876146044e-06
1983,1.203470219479641e-06
1984,1.5340015124820638e-06
1985,2.082897026411956e-06
1986,3.46571255249728e-06
1987,2.7866026357514784e-06
1988,3.5010968986171065e-06
1989,3.354531827426399e-06
1990,6.27911731498898e-06
1991,6.950616807444021e-06
1992,8.684993190399837e-06
1993,1.060424528986914e-05
1994,1.258670545212226e-05
1995,1.6931679056142457e-05
1996,2.129884342139121e-05
1997,2.558244887040928e-05
1998,2.6065570637001656e-05
1999,2.832917198247742e-05
2000,2.956230855488684e-05
2001,3.1328156183008105e-05
2002,3.7851630622753873e-05
2003,4.010735574411228e-05
2004,3.072336039622314e-05
2005,2.5333722078357823e-05
2006,3.424023088882677e-05
2007,2.3906855858513154e-05
2008,2.60341985267587e-05
2009,2.8079100957256742e-05
2010,2.7062213121098466e-05
2011,2.603877328510862e-05
2012,2.0026649508508854e-05
2013,1.8054741303785704e-05
2014,1.6535856047994457e-05
2015,1.6305280951200984e-05
2016,1.6550295185879804e-05
2017,1.4268704035202973e-05
2018,1.3420557479548734e-05
2019,1.2576233530126046e-05
