,h
1945,3.582098361221142e-05
1946,3.6326466215541586e-05
1947,3.570918852346949e-05
1948,3.8066842535045e-05
1949,3.768354144995101e-05
1950,3.937454312108457e-05
1951,3.734484562301077e-05
1952,3.746668517123908e-05
1953,3.8816047890577465e-05
1954,4.049315975862555e-05
1955,3.825572275673039e-05
1956,3.8237871194723994e-05
1957,4.126257772441022e-05
1958,3.919806840713136e-05
1959,4.290804281481542e-05
1960,4.141454701311886e-05
1961,4.284020178602077e-05
1962,4.251178688718937e-05
1963,4.3651230953400955e-05
1964,4.508376514422707e-05
1965,4.578256266540848e-05
1966,4.537486529443413e-05
1967,4.3767562601715326e-05
1968,4.5497185055864975e-05
1969,4.380078462418169e-05
1970,4.869128315476701e-05
1971,5.136704567121342e-05
1972,5.088656325824559e-05
1973,5.1804916438413784e-05
1974,5.5639549827901646e-05
1975,5.713385689887218e-05
1976,5.933650754741393e-05
1977,6.003408634569496e-05
1978,5.9831269027199596e-05
1979,6.380933336913586e-05
1980,6.323607522062957e-05
1981,6.593891885131598e-05
1982,6.344763096421957e-05
1983,6.630025018239394e-05
1984,6.166652019601315e-05
1985,6.437857518903911e-05
1986,6.288400618359447e-05
1987,6.52129456284456e-05
1988,6.345837755361572e-05
1989,6.100773680373095e-05
1990,6.0128772020107135e-05
1991,5.889802559977397e-05
1992,5.7697459851624444e-05
1993,5.502358544617891e-05
1994,5.5203789088409394e-05
1995,6.0708178352797404e-05
1996,5.5939632147783414e-05
1997,5.710450204787776e-05
1998,5.4667802032781765e-05
1999,5.3821928304387257e-05
2000,5.3282503358786926e-05
2001,5.409679943113588e-05
2002,5.266137668513693e-05
2003,5.6047483667498454e-05
2004,5.157595660421066e-05
2005,5.276131923892535e-05
2006,4.9226571718463674e-05
2007,4.845378134632483e-05
2008,4.688855187851004e-05
2009,4.5118285925127566e-05
2010,4.526531483861618e-05
2011,4.9383583245798945e-05
2012,5.92555406910833e-05
2013,5.336001413525082e-05
2014,4.951020673615858e-05
2015,4.6325105358846486e-05
2016,5.245658030617051e-05
2017,5.5618987971683964e-05
2018,5.618579962174408e-05
2019,5.458476152853109e-05
