,university
1904,2.5012073820107616e-05
1905,2.630789458635263e-05
1906,2.4326816856046207e-05
1907,2.5467146770097315e-05
1908,2.2890602849656716e-05
1909,2.5602628738852218e-05
1910,3.147748066112399e-05
1911,2.8724321964546107e-05
1912,2.7099238650407642e-05
1913,2.764397686405573e-05
1914,2.9397882826742716e-05
1915,2.9442962841130793e-05
1916,2.6309457098250277e-05
1917,3.0399243769352324e-05
1918,2.629540176712908e-05
1919,3.295165879535489e-05
1920,2.5856286811176687e-05
1921,2.757697075139731e-05
1922,2.6843094019568525e-05
1923,2.703470818232745e-05
1924,2.7409465474192984e-05
1925,2.6647259801393375e-05
1926,3.214716343791224e-05
1927,3.084463605773635e-05
1928,3.1942661735229194e-05
1929,3.5651970392791554e-05
1930,3.574657239369117e-05
1931,3.081944669247605e-05
1932,3.4303597203688696e-05
1933,3.0095199690549634e-05
1934,3.324365025036968e-05
1935,2.7901607609237544e-05
1936,3.348180325701833e-05
1937,3.216763798263855e-05
1938,2.9822793294442818e-05
1939,2.8293066861806437e-05
1940,2.7456457246444188e-05
1941,2.7216285161557607e-05
1942,2.737508839345537e-05
1943,2.694299655559007e-05
1944,2.692313864827156e-05
1945,2.766686156974174e-05
1946,2.9776807423331775e-05
1947,2.9955794161651284e-05
1948,2.9437545890687034e-05
1949,3.09825009026099e-05
1950,3.231734808650799e-05
1951,2.9633170925080776e-05
1952,2.863475492631551e-05
1953,3.0435245207627304e-05
1954,3.0149247322697192e-05
1955,3.2510757591808215e-05
1956,3.1289153412217274e-05
1957,3.254846160416491e-05
1958,3.530637332005426e-05
1959,3.708649819600396e-05
1960,3.8432921428466216e-05
1961,4.1390641854377463e-05
1962,4.081608130945824e-05
1963,4.3609874410321936e-05
1964,4.25522739533335e-05
1965,4.701135549112223e-05
1966,4.5273300202097744e-05
1967,4.847721356782131e-05
1968,4.950378934154287e-05
1969,5.356913243304007e-05
1970,5.2609495469368994e-05
1971,4.886427632300183e-05
1972,4.6012079110369086e-05
1973,4.2905154259642586e-05
1974,4.169733074377291e-05
1975,3.8629525079159066e-05
1976,3.700545130413957e-05
1977,3.697486681630835e-05
1978,3.64143488695845e-05
1979,3.559193282853812e-05
1980,3.6868685128865764e-05
1981,3.4759214031510055e-05
1982,3.597344766603783e-05
1983,3.527932130964473e-05
1984,3.491415554890409e-05
1985,3.56425553036388e-05
1986,3.558735261321999e-05
1987,3.4991604479728267e-05
1988,3.579941039788537e-05
1989,3.48775829479564e-05
1990,3.5471766750561073e-05
1991,3.4819557185983285e-05
1992,3.569742330000736e-05
1993,3.561039920896292e-05
1994,3.499440208543092e-05
1995,3.4956905437866226e-05
1996,3.511296381475404e-05
1997,3.7407309719128534e-05
1998,3.6809229641221464e-05
1999,3.813202783931047e-05
2000,3.597026443458162e-05
2001,3.634270979091525e-05
2002,3.729707168531604e-05
2003,3.7576479371637106e-05
2004,3.9049627957865596e-05
2005,3.8314374251058325e-05
2006,3.791180279222317e-05
2007,3.6514535167953e-05
2008,3.3647851523710415e-05
2009,3.549253233359195e-05
2010,3.5706234484678134e-05
2011,3.352676867507398e-05
2012,3.147573443129659e-05
2013,3.4347918699495494e-05
2014,3.501310129649937e-05
2015,3.696177736856043e-05
2016,3.992952042608522e-05
2017,3.41769409715198e-05
2018,3.1450130336452276e-05
2019,3.577900497475639e-05
