,g
2004,6.549756653839722e-05
2005,6.503182521555573e-05
2006,6.595925515284762e-05
2007,6.213554297573864e-05
2008,6.039229629095644e-05
2009,5.9235902881482616e-05
2010,6.18108970229514e-05
2011,7.412341074086726e-05
2012,8.216180867748335e-05
2013,7.488807023037225e-05
2014,6.594695150852203e-05
2015,6.203718658071011e-05
2016,6.547915836563334e-05
2017,6.269383447943255e-05
2018,6.622320506721735e-05
2019,6.579357432201505e-05
