,website
1984,6.152669840275848e-08
1985,1.194288330452764e-07
1986,3.07278014588519e-07
1987,8.942731710703811e-08
1988,8.167994280938728e-08
1989,1.3855107283688994e-07
1990,8.618139446525674e-08
1991,2.1445781328566227e-07
1992,1.9999274059046002e-07
1993,2.538889702918823e-07
1994,2.988097378420207e-07
1995,6.352675541165809e-07
1996,1.2490246490415302e-06
1997,3.3797286960179918e-06
1998,6.163038960949052e-06
1999,9.691950253909454e-06
2000,1.2380496627883986e-05
2001,1.527168569737114e-05
2002,1.6342415619874373e-05
2003,1.867654464149382e-05
2004,2.0064107957296073e-05
2005,2.1732179448008537e-05
2006,2.2430112949223258e-05
2007,2.367066736042034e-05
2008,2.1963736799079925e-05
2009,2.2953212464926764e-05
2010,2.511194907128811e-05
2011,2.7727277483791113e-05
2012,2.5431423637201078e-05
2013,2.553732701926492e-05
2014,2.687230153242126e-05
2015,2.8548325644806027e-05
2016,2.9917444408056326e-05
2017,2.517272332624998e-05
2018,2.192551073676441e-05
2019,2.443316043354571e-05
