,windows
1903,2.3294418497243896e-05
1904,2.437186412862502e-05
1905,2.3579743356094696e-05
1906,2.3559186956845224e-05
1907,2.2903041099198163e-05
1908,2.2814398107584566e-05
1909,2.4021015633479692e-05
1910,2.3183036319096573e-05
1911,2.3205993784358725e-05
1912,2.4170980395865627e-05
1913,2.3874834369053133e-05
1914,2.429934829706326e-05
1915,2.3023481844575144e-05
1916,2.1057374397059903e-05
1917,2.0654209947679192e-05
1918,1.9682027414091863e-05
1919,2.0643674361053854e-05
1920,2.0755944206030108e-05
1921,2.002573455683887e-05
1922,2.168174796679523e-05
1923,2.142501216439996e-05
1924,2.235258034488652e-05
1925,2.221909562649671e-05
1926,2.2314587113214657e-05
1927,2.166355807275977e-05
1928,2.1256137188174762e-05
1929,2.200077142333612e-05
1930,2.1673040464520454e-05
1931,2.06210752367042e-05
1932,2.0113284335820936e-05
1933,1.8612618077895604e-05
1934,1.8906470359070227e-05
1935,1.860118209151551e-05
1936,1.9967357729910873e-05
1937,2.1023595763836056e-05
1938,2.0421435692696832e-05
1939,1.887059443106409e-05
1940,1.8820839613908902e-05
1941,1.8236869436805137e-05
1942,1.8436514437780716e-05
1943,1.644168332859408e-05
1944,1.7998436305788346e-05
1945,1.7770047634257935e-05
1946,2.0408699128893204e-05
1947,1.8227228792966343e-05
1948,1.87129062396707e-05
1949,1.8432403521728702e-05
1950,1.7833584934123792e-05
1951,2.1748173821833916e-05
1952,1.8746555724646896e-05
1953,1.8001313947024755e-05
1954,1.8492244635126553e-05
1955,1.692288788035512e-05
1956,1.7191732695209794e-05
1957,1.6438536476925947e-05
1958,1.6257507013506256e-05
1959,1.5469378922716714e-05
1960,1.549010085000191e-05
1961,1.4809740605414845e-05
1962,1.5065606021380518e-05
1963,1.5250871001626365e-05
1964,1.4590852515539154e-05
1965,1.4611240658268798e-05
1966,1.4417934835364576e-05
1967,1.444051304133609e-05
1968,1.54394128912827e-05
1969,1.4786947758693714e-05
1970,1.5511064702877775e-05
1971,1.3264619155961554e-05
1972,1.4063251910556573e-05
1973,1.333101317868568e-05
1974,1.4022481082065497e-05
1975,1.4263286175264511e-05
1976,1.4457554243563209e-05
1977,1.4576599824067671e-05
1978,1.508109926362522e-05
1979,1.5175691260083113e-05
1980,1.561832868901547e-05
1981,1.5722427633590996e-05
1982,1.56120859173825e-05
1983,1.6480267731822096e-05
1984,1.665893978497479e-05
1985,1.6844496713019907e-05
1986,1.805690953915473e-05
1987,1.7480932001490146e-05
1988,1.7901274986797944e-05
1989,1.8433047443977557e-05
1990,1.891496685857419e-05
1991,1.9080584024777636e-05
1992,1.974731458176393e-05
1993,2.0268709704396315e-05
1994,1.984146365430206e-05
1995,1.9486287783365697e-05
1996,2.024478635576088e-05
1997,2.0228615539963357e-05
1998,2.0459125153138302e-05
1999,2.0570178094203584e-05
2000,2.225586104032118e-05
2001,2.2411073587136343e-05
2002,2.3122402126318775e-05
2003,2.305915768374689e-05
2004,2.4407929231529124e-05
2005,2.408103500783909e-05
2006,2.4944169126683846e-05
2007,2.6360763513366692e-05
2008,2.703802238102071e-05
2009,2.999024400196504e-05
2010,3.1409716029884294e-05
2011,3.325235593365505e-05
2012,3.070324964937754e-05
2013,2.9940803869976662e-05
2014,3.374975858605467e-05
2015,3.2947795261861756e-05
2016,3.0491701181745157e-05
2017,3.484415356069803e-05
2018,3.3031581551767886e-05
2019,3.2010171707952395e-05
