,online
1977,1.1839950957437395e-06
1978,1.8610329561852268e-06
1979,1.869916786745307e-06
1980,3.1553427106700838e-06
1981,3.792335064645158e-06
1982,4.7206581257341895e-06
1983,5.400969257607358e-06
1984,6.1925125010020565e-06
1985,7.83026644057827e-06
1986,8.454549970338121e-06
1987,7.543641913798638e-06
1988,8.682683983352035e-06
1989,8.716869160707574e-06
1990,8.141824764607009e-06
1991,7.023493708402384e-06
1992,7.25431164028123e-06
1993,8.104501830530353e-06
1994,8.232765139837284e-06
1995,1.0937344086414669e-05
1996,1.4199409633874893e-05
1997,1.6620822862023488e-05
1998,1.7893893527798355e-05
1999,2.321204920008313e-05
2000,3.0293087547761388e-05
2001,3.33086027239915e-05
2002,3.307679435238242e-05
2003,3.5681128792930394e-05
2004,3.9457536331610754e-05
2005,4.099528450751677e-05
2006,4.3267980800010264e-05
2007,4.5493405195884407e-05
2008,4.6913803089410067e-05
2009,4.754409383167513e-05
2010,5.001666067983024e-05
2011,4.7886005631880835e-05
2012,4.383867417345755e-05
2013,4.6082270273473114e-05
2014,4.975880801794119e-05
2015,5.388635690906085e-05
2016,6.169684638734907e-05
2017,5.0622988055692986e-05
2018,4.834154242416844e-05
2019,5.6218457757495344e-05
