,accessories
1899,3.229592948628124e-06
1900,3.1843530905462103e-06
1901,3.314387186037493e-06
1902,3.4018842143268557e-06
1903,3.603061713874922e-06
1904,3.95113738704822e-06
1905,3.934396772820037e-06
1906,3.812707291217521e-06
1907,4.303878085920587e-06
1908,4.379691745270975e-06
1909,4.303360583435278e-06
1910,4.576040282699978e-06
1911,4.716710463981144e-06
1912,5.074649834568845e-06
1913,5.618135674012592e-06
1914,5.447060175356455e-06
1915,5.708347089239396e-06
1916,6.105912234488642e-06
1917,6.803873475291766e-06
1918,6.650639079452958e-06
1919,7.410603757307399e-06
1920,7.5612579166772775e-06
1921,7.449869826814393e-06
1922,7.408694727928378e-06
1923,6.672517429251457e-06
1924,6.853497779957252e-06
1925,6.978589226491749e-06
1926,6.579856744792778e-06
1927,6.797342393838335e-06
1928,6.614241101488005e-06
1929,7.29743351257639e-06
1930,7.401501534332056e-06
1931,7.166147497628117e-06
1932,7.352073225774802e-06
1933,7.8388484325842e-06
1934,9.357471753901336e-06
1935,6.441035111492965e-06
1936,6.901797860336956e-06
1937,7.842209925001953e-06
1938,7.46483738112147e-06
1939,8.391994924750179e-06
1940,9.18121531867655e-06
1941,9.928945473802742e-06
1942,9.388856597070117e-06
1943,8.211000931623857e-06
1944,9.176244930131361e-06
1945,8.518701179127675e-06
1946,8.880647328624036e-06
1947,8.364228051505052e-06
1948,8.938974133343436e-06
1949,8.945375157054514e-06
1950,8.279348548967391e-06
1951,9.17452598514501e-06
1952,9.430835234525148e-06
1953,9.439180757908616e-06
1954,8.962826541392133e-06
1955,8.674541277287062e-06
1956,9.680384209787007e-06
1957,8.891531251720153e-06
1958,8.87894657353172e-06
1959,8.65944275574293e-06
1960,8.627387614978943e-06
1961,8.657851140014827e-06
1962,8.638462531962432e-06
1963,8.63914374349406e-06
1964,8.183968930097762e-06
1965,8.273614184872713e-06
1966,7.993888175406028e-06
1967,7.649502549611498e-06
1968,7.388871836155886e-06
1969,7.277726126631023e-06
1970,8.355559657502454e-06
1971,7.036212082311977e-06
1972,7.1296849455393385e-06
1973,7.041836852295091e-06
1974,6.851153557363432e-06
1975,6.592747467948357e-06
1976,6.80892844684422e-06
1977,7.17172542863409e-06
1978,6.927159574843245e-06
1979,7.44951466913335e-06
1980,7.031874247331871e-06
1981,6.9409902607731055e-06
1982,7.046993232506793e-06
1983,6.756505172234029e-06
1984,8.467718544125091e-06
1985,7.875869414419867e-06
1986,7.273938990692841e-06
1987,6.991539066802943e-06
1988,7.013638423813973e-06
1989,7.57015959607088e-06
1990,8.29087457532296e-06
1991,6.312920049822424e-06
1992,6.52195149086765e-06
1993,6.585501978406683e-06
1994,7.678048859816045e-06
1995,7.300098786799936e-06
1996,7.858606295485515e-06
1997,6.886827577545773e-06
1998,6.606248462048825e-06
1999,6.580349690921139e-06
2000,6.308776391961146e-06
2001,6.310112439678051e-06
2002,5.398449047788745e-06
2003,4.927018380840309e-06
2004,4.932932824885938e-06
2005,5.16189675181522e-06
2006,4.94997539135511e-06
2007,5.871610937902005e-06
2008,3.748396466107806e-06
2009,3.479103270365158e-06
2010,3.0986714136815863e-06
2011,3.010190312124905e-06
2012,2.7133937692269683e-06
2013,2.590932581369998e-06
2014,2.653914407346747e-06
2015,2.6370512387074996e-06
2016,2.512326545911492e-06
2017,2.313766117367777e-06
2018,2.2891310891282046e-06
2019,2.2596011604036903e-06
