,y
1945,4.611968688550405e-05
1946,4.224824806442484e-05
1947,4.510486905928701e-05
1948,4.3593463487923145e-05
1949,4.258841727278195e-05
1950,4.952589006279595e-05
1951,4.857366002397612e-05
1952,4.704191815108061e-05
1953,4.8719866754254326e-05
1954,4.835049185203388e-05
1955,4.841481495532207e-05
1956,5.1736089517362416e-05
1957,5.120731293573044e-05
1958,5.374617830966599e-05
1959,5.564463936025277e-05
1960,5.760616477346048e-05
1961,6.068068978493102e-05
1962,6.163035868667066e-05
1963,6.290075543802232e-05
1964,6.546923395944759e-05
1965,6.417230179067701e-05
1966,6.178567127790302e-05
1967,6.264595867833123e-05
1968,6.329300958896056e-05
1969,5.778491686214693e-05
1970,6.007821502862498e-05
1971,5.9297672123648226e-05
1972,5.804823376820423e-05
1973,5.6798100558808073e-05
1974,5.701065674657002e-05
1975,5.805424370919354e-05
1976,5.827482164022513e-05
1977,5.778016202384606e-05
1978,5.5471769883297384e-05
1979,5.680895992554724e-05
1980,5.7297282182844356e-05
1981,5.572515510721132e-05
1982,5.610376319964416e-05
1983,5.804952888865955e-05
1984,5.759881605627015e-05
1985,5.921169213252142e-05
1986,5.836566924699582e-05
1987,5.784609675174579e-05
1988,5.702389171347022e-05
1989,5.5543408961966634e-05
1990,5.5119813623605296e-05
1991,5.387486089603044e-05
1992,5.50057775399182e-05
1993,5.576325565925799e-05
1994,5.2845178288407624e-05
1995,5.462418994284235e-05
1996,5.3839543397771195e-05
1997,5.417862848844379e-05
1998,5.2209157729521394e-05
1999,5.212348696659319e-05
2000,5.082311690784991e-05
2001,5.154378231964074e-05
2002,4.873553916695528e-05
2003,5.37767045898363e-05
2004,5.285732913762331e-05
2005,5.5247568525373936e-05
2006,5.239116580924019e-05
2007,5.367981066228822e-05
2008,5.117099863127805e-05
2009,5.5181895731948316e-05
2010,6.160767952678725e-05
2011,6.847944314358756e-05
2012,8.604098547948524e-05
2013,7.712213846389204e-05
2014,6.98308358551003e-05
2015,7.060022471705452e-05
2016,8.109411282930523e-05
2017,0.00010081734944833443
2018,0.0001281131844734773
2019,9.036030678544194e-05
