,search
1916,2.0776835299329832e-05
1917,2.0953073544660583e-05
1918,2.049839349638205e-05
1919,2.0207366105751134e-05
1920,2.0992914869566448e-05
1921,2.221623253717553e-05
1922,2.2465734218712896e-05
1923,2.5439825549256057e-05
1924,2.518740984669421e-05
1925,2.6082771000801586e-05
1926,2.6091693143825978e-05
1927,2.7892318030353636e-05
1928,2.6232317395624705e-05
1929,2.560616485425271e-05
1930,2.5662760890554637e-05
1931,2.523335933801718e-05
1932,2.5036908482434228e-05
1933,2.443557787046302e-05
1934,2.5010000172187574e-05
1935,2.323889930266887e-05
1936,2.422302532067988e-05
1937,2.436223076074384e-05
1938,2.451552245474886e-05
1939,2.242882692371495e-05
1940,2.499898982932791e-05
1941,2.181496165576391e-05
1942,2.2892121705808677e-05
1943,2.323931585124228e-05
1944,2.3581635105074383e-05
1945,2.3043279725243337e-05
1946,2.809126272040885e-05
1947,2.5579660359653644e-05
1948,2.6383873773738742e-05
1949,2.7144020350533538e-05
1950,2.683057937247213e-05
1951,2.646674693096429e-05
1952,2.69436277449131e-05
1953,2.766327997960616e-05
1954,2.9695487683056854e-05
1955,2.810640580719337e-05
1956,2.9777418603771366e-05
1957,2.996691364387516e-05
1958,3.1121868232730776e-05
1959,3.238523277104832e-05
1960,3.248849679948762e-05
1961,3.237096461816691e-05
1962,3.352515341248363e-05
1963,3.3909625926753506e-05
1964,3.555998773663305e-05
1965,3.6369423469295725e-05
1966,3.982322959927842e-05
1967,4.131062451051548e-05
1968,4.326047928771004e-05
1969,4.199744944344275e-05
1970,4.2632997065084055e-05
1971,4.1913866880349815e-05
1972,4.510500730248168e-05
1973,4.455412272363901e-05
1974,4.5642987970495597e-05
1975,4.4670927309198305e-05
1976,4.5500361011363566e-05
1977,4.6842462325003e-05
1978,5.034263449488208e-05
1979,4.94235209771432e-05
1980,4.857092790189199e-05
1981,5.812851668451913e-05
1982,5.55661172256805e-05
1983,5.425600102171302e-05
1984,5.465610956889577e-05
1985,6.139269680716097e-05
1986,6.502189353341237e-05
1987,5.8148234529653564e-05
1988,5.687977318302728e-05
1989,6.36399636277929e-05
1990,6.619021587539464e-05
1991,6.154662696644664e-05
1992,6.11978248343803e-05
1993,5.87098220421467e-05
1994,5.830763257108629e-05
1995,5.950337799731642e-05
1996,6.371022027451545e-05
1997,6.626041431445628e-05
1998,6.981096521485597e-05
1999,6.933131953701377e-05
2000,6.749860040144995e-05
2001,7.082715455908328e-05
2002,7.117199129424989e-05
2003,7.573974289698526e-05
2004,7.647836901014671e-05
2005,7.263660518219694e-05
2006,7.040405762381852e-05
2007,6.948896771064028e-05
2008,6.980721082072705e-05
2009,7.151644967962056e-05
2010,7.312116213142872e-05
2011,7.344769983319566e-05
2012,6.933198164915666e-05
2013,6.677282362943515e-05
2014,6.642448715865612e-05
2015,6.546076474478468e-05
2016,6.60007499391213e-05
2017,6.159130862215534e-05
2018,6.0065161960665137e-05
2019,6.260073860175908e-05
