,box
1938,4.381446342449635e-05
1939,4.3032221583416685e-05
1940,4.415318835526705e-05
1941,4.202748095849529e-05
1942,4.045421155751683e-05
1943,4.115972842555493e-05
1944,4.1971772589022294e-05
1945,4.013874422525987e-05
1946,3.946103242924437e-05
1947,3.869252395816147e-05
1948,3.9104004827095196e-05
1949,3.8673944800393656e-05
1950,3.83979786420241e-05
1951,3.8538972148671746e-05
1952,4.048883420182392e-05
1953,3.813039802480489e-05
1954,3.869167630909942e-05
1955,3.6389774322742596e-05
1956,3.572255445760675e-05
1957,3.5595490771811455e-05
1958,3.56932396243792e-05
1959,3.306024882476777e-05
1960,3.3358792279614136e-05
1961,3.1688301532994956e-05
1962,3.113405909971334e-05
1963,3.147687311866321e-05
1964,3.0524977773893625e-05
1965,3.0279597922344692e-05
1966,2.942417995654978e-05
1967,2.8592889066203497e-05
1968,2.8265842047403567e-05
1969,2.8121834475314245e-05
1970,2.945034793810919e-05
1971,2.7202946512261406e-05
1972,2.7771216991823167e-05
1973,2.6977060770150274e-05
1974,2.6680245355237275e-05
1975,2.7422973289503716e-05
1976,2.6593330403557047e-05
1977,2.798260720737744e-05
1978,2.6353167413617484e-05
1979,2.7028960175812244e-05
1980,2.7301692171022296e-05
1981,2.829077493515797e-05
1982,2.8979082344449125e-05
1983,2.9913899197708815e-05
1984,3.029693107237108e-05
1985,2.9711787647102028e-05
1986,3.112104604952037e-05
1987,3.188119808328338e-05
1988,3.264189581386745e-05
1989,3.392678263480775e-05
1990,3.527328226482496e-05
1991,3.82934813387692e-05
1992,4.331647141952999e-05
1993,4.705092214862816e-05
1994,4.992909452994354e-05
1995,5.159295324119739e-05
1996,5.175370097276755e-05
1997,6.022248271619901e-05
1998,5.773718294221908e-05
1999,6.377949466696009e-05
2000,5.8852088841376826e-05
2001,6.362407293636352e-05
2002,6.3720865000505e-05
2003,6.456395203713328e-05
2004,6.766046135453507e-05
2005,6.020078217261471e-05
2006,6.499036680907011e-05
2007,7.082195224938914e-05
2008,6.746995495632291e-05
2009,7.553601608378813e-05
2010,8.890467142919078e-05
2011,8.22635629447177e-05
2012,7.126650598365813e-05
2013,7.463064684998244e-05
2014,7.057514449115843e-05
2015,7.097861089278013e-05
2016,6.840373680461198e-05
2017,6.270300218602642e-05
2018,6.133329588919878e-05
2019,6.156302697490901e-05
