,digital
1991,2.232127371826209e-05
1992,2.2330410502036102e-05
1993,2.237405897176359e-05
1994,2.4740002118051052e-05
1995,2.616189703985583e-05
1996,2.7718870114767924e-05
1997,3.0041865102248266e-05
1998,3.074173582717776e-05
1999,3.1975836463971063e-05
2000,3.323198325233534e-05
2001,3.437274062889628e-05
2002,3.4988064726348966e-05
2003,3.6022061976836994e-05
2004,3.578826363082044e-05
2005,3.4810651413863525e-05
2006,3.235923941247165e-05
2007,3.186219691997394e-05
2008,3.0395385692827404e-05
2009,2.9363643989199772e-05
2010,2.9099002858856693e-05
2011,3.065961573156528e-05
2012,3.306051803519949e-05
2013,3.352201747475192e-05
2014,3.20068902510684e-05
2015,3.524813655531034e-05
2016,4.0489689126843587e-05
2017,3.7491292459890246e-05
2018,3.7921829061815515e-05
2019,4.6554672735510394e-05
