,0
1911,0.05714431777596474
1912,0.056702401489019394
1913,0.056540705263614655
1914,0.056567560881376266
1915,0.0564345121383667
1916,0.05630390718579292
1917,0.05613075569272041
1918,0.056193847209215164
1919,0.05603555962443352
1920,0.05601496621966362
1921,0.05572694167494774
1922,0.055685680359601974
1923,0.05463892221450806
1924,0.054677847772836685
1925,0.05387289822101593
1926,0.05489107593894005
1927,0.053218185901641846
1928,0.05340707302093506
1929,0.05336958169937134
1930,0.05351027473807335
1931,0.05275272950530052
1932,0.05317511036992073
1933,0.05325271189212799
1934,0.05342264473438263
1935,0.05310416594147682
1936,0.052264221012592316
1937,0.05253629386425018
1938,0.05263683199882507
1939,0.05226561799645424
1940,0.051461782306432724
1941,0.05141399800777435
1942,0.051593486219644547
1943,0.051803626120090485
1944,0.05142776668071747
1945,0.051687486469745636
1946,0.05169035866856575
1947,0.052311379462480545
1948,0.05130283534526825
1949,0.05102400481700897
1950,0.051284946501255035
1951,0.05080822855234146
1952,0.05081608518958092
1953,0.05065978318452835
1954,0.05051376298069954
1955,0.05069287493824959
1956,0.05052439868450165
1957,0.05029628425836563
1958,0.050519198179244995
1959,0.050606898963451385
1960,0.05021259933710098
1961,0.05020138621330261
1962,0.05026385933160782
1963,0.05010534077882767
1964,0.05016278848052025
1965,0.04993126168847084
1966,0.04982974752783775
1967,0.04957248270511627
1968,0.049839846789836884
1969,0.04970962181687355
1970,0.04907882958650589
1971,0.04919585585594177
1972,0.04839808866381645
1973,0.047752924263477325
1974,0.047821294516325
1975,0.047650355845689774
1976,0.047052156180143356
1977,0.04645983874797821
1978,0.045872822403907776
1979,0.045940857380628586
1980,0.0458146370947361
1981,0.045417338609695435
1982,0.045128535479307175
1983,0.04530227556824684
1984,0.04467231407761574
1985,0.04442819207906723
1986,0.04445800185203552
1987,0.044555988162755966
1988,0.0446191281080246
1989,0.04381633549928665
1990,0.044264886528253555
1991,0.04423941299319267
1992,0.04412079602479935
1993,0.04358137771487236
1994,0.043511148542165756
1995,0.043568212538957596
1996,0.04391233250498772
1997,0.04420362785458565
1998,0.04447174072265625
1999,0.04445672407746315
2000,0.044525157660245895
2001,0.04428113251924515
2002,0.04427771642804146
2003,0.04465038701891899
2004,0.044813625514507294
2005,0.04456251859664917
2006,0.04458721727132797
2007,0.0446225069463253
2008,0.04460666701197624
2009,0.044188305735588074
2010,0.04414471611380577
2011,0.043249599635601044
2012,0.04309625178575516
2013,0.04374942183494568
2014,0.04259314388036728
2015,0.04278409108519554
2016,0.042893100529909134
2017,0.042212385684251785
2018,0.04144826903939247
2019,0.04222063720226288
1800,0.037687405943870544
1801,0.03876008838415146
1802,0.04023577645421028
1803,0.04038967192173004
1804,0.03909982740879059
1805,0.039680443704128265
1806,0.039406947791576385
1807,0.03993035852909088
1808,0.038073696196079254
1809,0.039145663380622864
1810,0.03851170092821121
1811,0.038663916289806366
1812,0.04008525609970093
1813,0.04007905721664429
1814,0.04071567580103874
1815,0.04104909673333168
1816,0.03967376798391342
1817,0.04128120467066765
1818,0.04085580259561539
1819,0.04147598519921303
1820,0.039729420095682144
1821,0.03903990611433983
1822,0.039663560688495636
1823,0.03970307856798172
1824,0.03923988342285156
1825,0.03936602920293808
1826,0.040074218064546585
1827,0.04043613374233246
1828,0.04058096185326576
1829,0.04119112342596054
1830,0.040528420358896255
1831,0.040579717606306076
1832,0.040443483740091324
1833,0.04057935252785683
1834,0.04066278785467148
1835,0.04043610021471977
1836,0.040829483419656754
1837,0.040363967418670654
1838,0.04049377143383026
1839,0.040141649544239044
1840,0.04020046442747116
1841,0.04019838199019432
1842,0.04018360748887062
1843,0.039984580129384995
1844,0.03976071998476982
1845,0.040226634591817856
