,software
1897,1.7010665098737832e-09
1898,4.742350512287885e-09
1899,1.3349237804050063e-07
1900,6.667011689387436e-07
1901,2.3990762709757973e-09
1902,2.945188626313211e-08
1903,5.565746086233503e-09
1904,3.1188769344936418e-09
1905,1.3258083519929187e-09
1906,1.0376383308141612e-08
1907,1.4426903005571035e-09
1908,1.6009205072720079e-09
1909,1.303258834184362e-09
1910,4.717355839289894e-09
1911,2.8821354192132276e-09
1912,2.411676636171478e-09
1913,1.89267012729033e-07
1914,3.033211237735145e-09
1915,5.650330425766015e-09
1916,5.6047841923145825e-09
1917,9.106073228792866e-09
1918,2.8562190834691137e-08
1919,2.4865677517027507e-08
1920,3.0305642439998337e-09
1921,2.5165418637840276e-09
1922,3.490351829782412e-08
1923,2.4524149822013896e-08
1924,1.0822969187529452e-08
1925,2.412473065760423e-07
1926,1.065619503748394e-08
1927,8.274014362541493e-08
1928,2.963066592087671e-08
1929,4.9582368433220836e-08
1930,3.215206589857189e-08
1931,1.5966641342402e-08
1932,2.1063069510773857e-08
1933,6.480119196794476e-08
1934,7.77861203005159e-07
1935,2.638113301145495e-07
1936,2.747161715888069e-07
1937,5.363081712062012e-08
1938,4.666689790155942e-08
1939,6.111636707828438e-08
1940,6.723747958403692e-08
1941,1.139709183917148e-06
1942,1.383609884442194e-07
1943,6.445736033811045e-08
1944,5.7142798937093175e-08
1945,3.382512758776102e-08
1946,2.914863159730885e-07
1947,3.861802326809993e-07
1948,1.738236079518174e-07
1949,3.4206587429252977e-07
1950,5.783351753052557e-08
1951,6.30818988156534e-08
1952,5.737879149592118e-08
1953,1.6569731542404043e-07
1954,3.1324134397436865e-07
1955,4.6220598903801147e-08
1956,1.1663378529647161e-07
1957,1.3372098806030408e-07
1958,2.18239947002985e-07
1959,5.959188342785637e-07
1960,4.190901563561056e-07
1961,3.04424446539997e-07
1962,1.2403343134792522e-06
1963,6.353881190079846e-07
1964,1.0887849839491537e-06
1965,1.1073904033764848e-06
1966,1.6974714753814624e-06
1967,2.9090031148371054e-06
1968,3.7354702726588584e-06
1969,4.8321621761715505e-06
1970,5.615981990558794e-06
1971,6.32245473752846e-06
1972,6.95461767463712e-06
1973,7.458712843799731e-06
1974,8.738298674870748e-06
1975,1.0423786989122164e-05
1976,1.2376134691294283e-05
1977,1.4526753147947602e-05
1978,1.6763544408604503e-05
1979,1.8795870346366428e-05
1980,2.1822712369612418e-05
1981,2.639377817104105e-05
1982,3.401669528102502e-05
1983,4.403276034281589e-05
1984,5.736969251302071e-05
1985,5.8519039157545194e-05
1986,6.381558341672644e-05
1987,5.864229751750827e-05
1988,5.8475292462389916e-05
1989,5.591534500126727e-05
1990,5.959464397164993e-05
1991,6.0267208027653396e-05
1992,6.1023627495160326e-05
1993,6.104799831518903e-05
1994,6.635181489400566e-05
1995,7.123284740373492e-05
1996,6.985362415434793e-05
1997,7.289782661246136e-05
1998,6.863612361485139e-05
1999,6.643587403232232e-05
2000,6.497760477941483e-05
2001,6.289206794463098e-05
2002,6.435006071114913e-05
2003,6.497270805994049e-05
2004,6.163417128846049e-05
2005,6.141509948065504e-05
2006,5.8121338952332735e-05
2007,5.6460517953382805e-05
2008,5.121322101331316e-05
2009,5.052139385952614e-05
2010,4.949210415361449e-05
2011,4.87939796585124e-05
2012,4.7353911213576794e-05
2013,4.1963103285524994e-05
2014,3.983364149462432e-05
2015,3.719468804774806e-05
2016,4.10766078857705e-05
2017,3.4547010727692395e-05
2018,3.386299795238301e-05
2019,3.6650988477049395e-05
