,college
1888,4.9398055125493556e-05
1889,4.442887438926846e-05
1890,4.755648478749208e-05
1891,5.5155629524961114e-05
1892,4.652305869967677e-05
1893,5.1864106353605166e-05
1894,5.582213634625077e-05
1895,5.0797865696949884e-05
1896,4.9135454901261255e-05
1897,5.309059633873403e-05
1898,5.5709428124828264e-05
1899,5.258758392301388e-05
1900,6.096499055274762e-05
1901,5.750661875936203e-05
1902,5.6212815252365544e-05
1903,5.901499753235839e-05
1904,5.874392809346318e-05
1905,5.563356899074279e-05
1906,5.212481482885778e-05
1907,5.589148713625036e-05
1908,5.413405961007811e-05
1909,5.854521077708341e-05
1910,6.0153466620249674e-05
1911,5.553932351176627e-05
1912,5.668809899361804e-05
1913,6.019819193170406e-05
1914,6.0353271692292765e-05
1915,6.165630475152284e-05
1916,5.9713471273425967e-05
1917,5.929117469349876e-05
1918,5.507459718501195e-05
1919,5.9935657191090286e-05
1920,5.5247968703042716e-05
1921,5.7165663747582585e-05
1922,5.833054456161335e-05
1923,5.7773537264438346e-05
1924,6.528611993417144e-05
1925,6.329977622954175e-05
1926,7.147779979277402e-05
1927,7.475298480130732e-05
1928,7.922998338472098e-05
1929,9.101333125727251e-05
1930,8.71039301273413e-05
1931,7.478024053853005e-05
1932,8.556013199267909e-05
1933,7.871020352467895e-05
1934,7.651906344108284e-05
1935,6.99566735420376e-05
1936,7.130976882763207e-05
1937,7.715995889157057e-05
1938,7.296712283277884e-05
1939,7.071573782013729e-05
1940,7.567390275653452e-05
1941,7.320983422687277e-05
1942,7.434951839968562e-05
1943,6.620024214498699e-05
1944,6.684761319775134e-05
1945,6.498904986074194e-05
1946,6.392576324287802e-05
1947,6.475437839981169e-05
1948,6.412645598175004e-05
1949,6.126234075054526e-05
1950,6.132218550192192e-05
1951,6.190811836859211e-05
1952,6.169172411318868e-05
1953,6.325136928353459e-05
1954,6.303205736912787e-05
1955,6.225014658411965e-05
1956,6.540585309267044e-05
1957,6.254108302528039e-05
1958,6.770440813852474e-05
1959,6.465818296419457e-05
1960,6.744479469489306e-05
1961,6.896738341310993e-05
1962,6.238764763111249e-05
1963,6.669381400570273e-05
1964,6.189678242662922e-05
1965,6.634323653997853e-05
1966,6.0602262237807736e-05
1967,6.50805450277403e-05
1968,6.401934660971165e-05
1969,7.158839434850961e-05
1970,6.327303708530962e-05
1971,6.405008025467396e-05
1972,6.244181713555008e-05
1973,5.6181903346441686e-05
1974,5.2103478083154187e-05
1975,5.1833521865773946e-05
1976,4.9601203500060365e-05
1977,4.8856967623578385e-05
1978,4.5799952204106376e-05
1979,4.6103858039714396e-05
1980,4.506566619966179e-05
1981,4.346251444076188e-05
1982,4.409914981806651e-05
1983,4.7231682401616126e-05
1984,4.147395884501748e-05
1985,4.507442281465046e-05
1986,4.2038482206407934e-05
1987,4.210462429909967e-05
1988,4.251802965882234e-05
1989,4.272499063517898e-05
1990,4.29289138992317e-05
1991,4.4260843424126506e-05
1992,4.442395220394246e-05
1993,5.406963828136213e-05
1994,4.493697633733973e-05
1995,4.854879807680845e-05
1996,4.684656232711859e-05
1997,4.9141082854475826e-05
1998,4.63355281681288e-05
1999,4.876409730059095e-05
2000,4.8410558520117775e-05
2001,4.808063749806024e-05
2002,4.64247859781608e-05
2003,4.557278225547634e-05
2004,5.253003109828569e-05
2005,5.13361046614591e-05
2006,5.0240127166034654e-05
2007,4.9798032705439255e-05
2008,4.784138945979066e-05
2009,5.0930721045006067e-05
2010,5.009281449019909e-05
2011,4.9137543101096526e-05
2012,4.330516458139755e-05
2013,4.4099790102336556e-05
2014,4.8292586143361405e-05
2015,4.846613956033252e-05
2016,4.8705620429245755e-05
2017,4.307292329031043e-05
2018,3.915673732990399e-05
2019,4.2486968595767394e-05
