,movie
1934,3.108690407316317e-06
1935,3.304758365629823e-06
1936,3.6914782413077774e-06
1937,4.118091965210624e-06
1938,4.195665496808942e-06
1939,4.676061507780105e-06
1940,5.504833097802475e-06
1941,5.414874976850115e-06
1942,5.06585956827621e-06
1943,5.010702352592489e-06
1944,6.019492047926178e-06
1945,5.8512237046670634e-06
1946,5.656276243826142e-06
1947,6.071050847822335e-06
1948,5.943243195360992e-06
1949,5.511743438546546e-06
1950,5.423601578513626e-06
1951,5.5445038924517576e-06
1952,5.610621883533895e-06
1953,5.94556104260846e-06
1954,5.961316219327273e-06
1955,5.998796950734686e-06
1956,6.272635346249444e-06
1957,6.690418558719102e-06
1958,5.919872819504235e-06
1959,6.2906628954806365e-06
1960,6.389920599758625e-06
1961,6.191963166202186e-06
1962,6.044346719136229e-06
1963,5.323978712112876e-06
1964,5.525077540369239e-06
1965,5.201028670853702e-06
1966,6.046700491424417e-06
1967,5.999877885187743e-06
1968,6.314022357400972e-06
1969,7.020010343694594e-06
1970,7.504940185754094e-06
1971,7.999565241334494e-06
1972,8.050578799156938e-06
1973,7.1910062615643255e-06
1974,7.809419003024232e-06
1975,7.505160283471923e-06
1976,6.835159638285404e-06
1977,7.83820723881945e-06
1978,7.586161700601224e-06
1979,7.631218068127055e-06
1980,7.802394065947738e-06
1981,8.142327715177089e-06
1982,9.122084520640783e-06
1983,8.841650014801417e-06
1984,1.0539437425904907e-05
1985,9.838819096330553e-06
1986,9.991820661525708e-06
1987,1.0824615856108721e-05
1988,1.073080966307316e-05
1989,1.1525853551574983e-05
1990,1.2040070032526273e-05
1991,1.2232635526743252e-05
1992,1.267125117010437e-05
1993,1.3326514817890711e-05
1994,1.4666693459730595e-05
1995,1.4800343706156127e-05
1996,1.6014173525036313e-05
1997,1.7350539565086365e-05
1998,1.6980782675091177e-05
1999,1.8445149180479348e-05
2000,2.0244409824954346e-05
2001,2.1453872250276618e-05
2002,2.3789863917045295e-05
2003,2.4135973944794387e-05
2004,2.5786273909034207e-05
2005,2.405450322839897e-05
2006,2.465491706971079e-05
2007,2.4849066903698258e-05
2008,2.3463388060918078e-05
2009,2.7146352294948883e-05
2010,2.731870517891366e-05
2011,2.8037726224283688e-05
2012,2.613095784909092e-05
2013,2.4902539735194296e-05
2014,2.8243048291187733e-05
2015,2.7455400413600728e-05
2016,2.4805778593872674e-05
2017,2.2599673684453592e-05
2018,2.0476692952797748e-05
2019,2.209785634477157e-05
