,print
1897,1.8955448467750102e-05
1898,1.7753582142177038e-05
1899,1.915235770866275e-05
1900,1.8707163690123707e-05
1901,1.9011164113180712e-05
1902,1.9097700715065002e-05
1903,1.979457556444686e-05
1904,1.8590666513773613e-05
1905,1.871462882263586e-05
1906,1.8257302144775167e-05
1907,2.0071927792741917e-05
1908,2.0431161829037592e-05
1909,2.2043645003577694e-05
1910,1.8963975890073925e-05
1911,2.0557790776365437e-05
1912,2.0366802345961332e-05
1913,2.0379613488330506e-05
1914,1.9567343770177104e-05
1915,2.0236253476468846e-05
1916,2.0353272702777758e-05
1917,2.1903892047703266e-05
1918,1.9671539121191017e-05
1919,2.0333063730504364e-05
1920,2.0078368834219873e-05
1921,2.0279501768527552e-05
1922,1.9513752704369836e-05
1923,2.0822302758460864e-05
1924,2.1553647457039915e-05
1925,2.1024523448431864e-05
1926,2.068848698399961e-05
1927,2.0733074052259326e-05
1928,2.0832612790400162e-05
1929,2.1179534087423235e-05
1930,2.091523856506683e-05
1931,2.214141932199709e-05
1932,1.9344746760907583e-05
1933,1.9844794223899953e-05
1934,2.0842126104980707e-05
1935,2.0234529074514285e-05
1936,2.097783908538986e-05
1937,2.2108006305643357e-05
1938,2.1031837604823522e-05
1939,2.200746166636236e-05
1940,2.0968354874639772e-05
1941,2.1085001208120957e-05
1942,2.2339898350764997e-05
1943,2.0210001821396872e-05
1944,2.1054611352155916e-05
1945,2.0229343135724775e-05
1946,1.9942561266361736e-05
1947,2.628801121318247e-05
1948,2.0263390979380347e-05
1949,2.0133466023253277e-05
1950,1.9608343791333027e-05
1951,1.9118484487989917e-05
1952,1.8474065655027516e-05
1953,1.9357094060978852e-05
1954,1.927754783537239e-05
1955,1.7553507859702222e-05
1956,1.924237767525483e-05
1957,1.849942418630235e-05
1958,1.818189412006177e-05
1959,1.9116163457510993e-05
1960,1.8377879314357415e-05
1961,2.0687031792476773e-05
1962,1.8680118955671787e-05
1963,1.905497265397571e-05
1964,1.9288252588012256e-05
1965,1.861154305515811e-05
1966,1.9659471945487894e-05
1967,2.0732808479806408e-05
1968,2.021338696067687e-05
1969,2.019258499785792e-05
1970,2.1351417672121897e-05
1971,1.9996246919617988e-05
1972,2.03896142920712e-05
1973,2.173280699935276e-05
1974,2.085377309413161e-05
1975,2.1403602659120224e-05
1976,2.1031033611507155e-05
1977,2.1785053831990808e-05
1978,2.1671179638360627e-05
1979,2.249761928396765e-05
1980,2.283718640683219e-05
1981,2.3735152353765443e-05
1982,2.4207389287767e-05
1983,2.7648929972201586e-05
1984,2.543194204918109e-05
1985,2.5852295948425308e-05
1986,2.6101633920916356e-05
1987,2.5853601982817054e-05
1988,2.515985215723049e-05
1989,2.5143899620161392e-05
1990,2.515864798624534e-05
1991,2.4916698748711497e-05
1992,2.589596260804683e-05
1993,3.0310606234706938e-05
1994,2.5287177777499892e-05
1995,2.5350933356094174e-05
1996,2.6315909053664654e-05
1997,2.7948859496973455e-05
1998,2.7345793569111265e-05
1999,2.8394108085194603e-05
2000,2.7771002351073548e-05
2001,2.8091140848118812e-05
2002,2.7485115424497053e-05
2003,2.903286076616496e-05
2004,3.0309913199744187e-05
2005,3.106566873611882e-05
2006,3.191219730069861e-05
2007,2.9544680728577077e-05
2008,2.733490509854164e-05
2009,2.7332893296261318e-05
2010,2.6418223569635302e-05
2011,2.524428055039607e-05
2012,2.2577269191970117e-05
2013,2.433578447380569e-05
2014,2.2930636987439357e-05
2015,2.4495731850038283e-05
2016,2.5254890715586953e-05
2017,2.26845259021502e-05
2018,2.1784702767035924e-05
2019,2.2979651475907303e-05
