,music
1879,5.619265721179545e-05
1880,5.8105688367504627e-05
1881,5.1705257646972314e-05
1882,4.9586866225581616e-05
1883,4.984529368812218e-05
1884,4.465518577490002e-05
1885,4.4758828153135255e-05
1886,4.7229481424437836e-05
1887,4.57871392427478e-05
1888,4.73298568977043e-05
1889,4.817231820197776e-05
1890,5.038996096118353e-05
1891,5.2147188398521394e-05
1892,5.2799543482251465e-05
1893,5.354574022931047e-05
1894,5.0000213377643377e-05
1895,5.2624916861532256e-05
1896,5.202508327784017e-05
1897,5.312786379363388e-05
1898,5.233257979853079e-05
1899,5.3979892982169986e-05
1900,5.171426892047748e-05
1901,4.866336894338019e-05
1902,5.0181806727778167e-05
1903,4.750389780383557e-05
1904,5.091590719530359e-05
1905,4.8164569307118654e-05
1906,4.827763041248545e-05
1907,4.61694216937758e-05
1908,5.2266961574787274e-05
1909,4.830637408304028e-05
1910,5.0749418733175844e-05
1911,4.91072642034851e-05
1912,4.632203854271211e-05
1913,4.535938933258876e-05
1914,4.373802585178055e-05
1915,4.7023157094372436e-05
1916,4.775386332767084e-05
1917,4.545956107904203e-05
1918,4.667006214731373e-05
1919,4.4663709559245035e-05
1920,4.772884494741447e-05
1921,4.9511752877151594e-05
1922,5.0204587751068175e-05
1923,5.349512866814621e-05
1924,5.571861402131617e-05
1925,5.675583452102728e-05
1926,5.853293259860948e-05
1927,5.92774995311629e-05
1928,5.710215918952599e-05
1929,5.7950077462010086e-05
1930,5.678166417055763e-05
1931,5.740406413679011e-05
1932,5.63865432923194e-05
1933,5.5929147492861375e-05
1934,5.955816595815122e-05
1935,6.637387559749186e-05
1936,6.496907735709101e-05
1937,6.706746353302151e-05
1938,6.852505612187088e-05
1939,5.829035580973141e-05
1940,6.991174450377002e-05
1941,6.579464388778433e-05
1942,5.6491189752705395e-05
1943,6.251714512472972e-05
1944,6.660919461864978e-05
1945,5.9861755289603025e-05
1946,7.011755224084482e-05
1947,6.899120489833876e-05
1948,7.214415381895378e-05
1949,6.148277316242456e-05
1950,6.0291731642792e-05
1951,6.171037966851145e-05
1952,6.253299943637103e-05
1953,6.37772391200997e-05
1954,8.838711073622108e-05
1955,6.57631317153573e-05
1956,6.453088280977681e-05
1957,6.082455365685746e-05
1958,6.692001625197008e-05
1959,6.045526242814958e-05
1960,6.168110121507198e-05
1961,5.725562368752435e-05
1962,5.8859233831753954e-05
1963,5.710666664526798e-05
1964,5.739730113418773e-05
1965,5.680897811544128e-05
1966,6.460901931859553e-05
1967,6.094534182921052e-05
1968,5.759727719123475e-05
1969,5.744552254327573e-05
1970,5.7902045227820054e-05
1971,5.493837670655921e-05
1972,5.834269177285023e-05
1973,5.426909774541855e-05
1974,5.5012485972838476e-05
1975,5.4364234529202804e-05
1976,5.225064523983747e-05
1977,5.458457235363312e-05
1978,5.780969877378084e-05
1979,5.519855039892718e-05
1980,8.579043060308322e-05
1981,6.214498716872185e-05
1982,5.939962647971697e-05
1983,6.105935608502477e-05
1984,6.086410940042697e-05
1985,6.323248089756817e-05
1986,6.352576747303829e-05
1987,6.406623288057745e-05
1988,6.834737723693252e-05
1989,6.855879473732784e-05
1990,6.824213778600097e-05
1991,6.823024159530178e-05
1992,7.608007581438869e-05
1993,7.078991620801389e-05
1994,7.579825614811853e-05
1995,7.468152762157843e-05
1996,7.656317029614002e-05
1997,8.250195241998881e-05
1998,8.532664651283994e-05
1999,8.718282333575189e-05
2000,8.655845886096358e-05
2001,0.00010564478725427762
2002,9.511951793683693e-05
2003,9.215546742780134e-05
2004,9.876234253169969e-05
2005,9.933661931427196e-05
2006,9.768359450390562e-05
2007,9.972271072911099e-05
2008,9.7004281997215e-05
2009,9.505936759524047e-05
2010,9.631819557398558e-05
2011,9.589927503839135e-05
2012,8.574279490858316e-05
2013,9.567198867443949e-05
2014,9.520243474980816e-05
2015,9.72773996181786e-05
2016,0.00010821691830642521
2017,0.00010192304762313142
2018,8.570246427552775e-05
2019,9.554208372719586e-05
