,category
1924,5.88061129747075e-06
1925,6.879689863126259e-06
1926,6.325826689135283e-06
1927,7.013765753072221e-06
1928,6.489276984211756e-06
1929,7.4774707172764465e-06
1930,8.425910891673993e-06
1931,7.980286682141013e-06
1932,8.56399583426537e-06
1933,9.411611245013773e-06
1934,9.60684337769635e-06
1935,1.0034099432232324e-05
1936,1.2069835065631196e-05
1937,1.0934238162008114e-05
1938,1.1910948160220869e-05
1939,1.2365584552753717e-05
1940,1.2460456673579756e-05
1941,1.3742593182541896e-05
1942,1.4234976333682425e-05
1943,1.4444226508203428e-05
1944,1.5239173080772161e-05
1945,1.678650369285606e-05
1946,1.754053846525494e-05
1947,2.024737113970332e-05
1948,1.882563446997665e-05
1949,1.9659462850540876e-05
1950,2.0016539565403946e-05
1951,2.228478842880577e-05
1952,2.320674502698239e-05
1953,2.3016886188997887e-05
1954,2.5408922738279216e-05
1955,2.5972902221838012e-05
1956,2.670902722456958e-05
1957,2.6679266738938168e-05
1958,2.8373122404445894e-05
1959,2.8592790840775706e-05
1960,2.951882743218448e-05
1961,3.301513788755983e-05
1962,3.2640975405229256e-05
1963,3.337073576403782e-05
1964,3.366054443176836e-05
1965,3.286300852778368e-05
1966,3.351717532495968e-05
1967,3.453434692346491e-05
1968,3.3865620935102925e-05
1969,3.530440153554082e-05
1970,3.683177419588901e-05
1971,3.848897176794708e-05
1972,4.3149295379407704e-05
1973,4.10711691074539e-05
1974,4.198329406790435e-05
1975,4.4672753574559465e-05
1976,4.502039519138634e-05
1977,4.627282396540977e-05
1978,4.908502887701616e-05
1979,4.5642453187610954e-05
1980,4.7698544221930206e-05
1981,4.492945663514547e-05
1982,4.936422556056641e-05
1983,5.581121877185069e-05
1984,4.7278030251618475e-05
1985,4.4331907702144235e-05
1986,4.533402534434572e-05
1987,4.405067375046201e-05
1988,4.721617005998269e-05
1989,4.6480767196044326e-05
1990,4.809478923561983e-05
1991,4.8679401515983045e-05
1992,5.015691931475885e-05
1993,5.783440064988099e-05
1994,5.891408000024967e-05
1995,4.6336539526237175e-05
1996,4.765578341903165e-05
1997,4.8268655518768355e-05
1998,4.7763831389602274e-05
1999,4.653694122680463e-05
2000,4.600255124387331e-05
2001,4.449021798791364e-05
2002,4.6410856157308444e-05
2003,4.485256795305759e-05
2004,4.567666837829165e-05
2005,4.4531065213959664e-05
2006,4.3815762182930484e-05
2007,4.2086514440597966e-05
2008,4.0126804378814995e-05
2009,3.893856410286389e-05
2010,3.8026755646569654e-05
2011,3.601106072892435e-05
2012,3.516007564030588e-05
2013,3.733414996531792e-05
2014,3.4200522350147367e-05
2015,3.351105988258496e-05
2016,3.5499499063007534e-05
2017,3.1708856113255024e-05
2018,2.9589426048914902e-05
2019,3.13022974296473e-05
