,mail
1936,3.719971573445946e-05
1937,4.207015081192367e-05
1938,3.6355537304189056e-05
1939,3.719128653756343e-05
1940,3.721437315107323e-05
1941,4.190581967122853e-05
1942,3.728462979779579e-05
1943,3.95831411879044e-05
1944,4.073045784025453e-05
1945,4.209222970530391e-05
1946,3.6770226870430633e-05
1947,3.9643367927055806e-05
1948,3.9354687032755464e-05
1949,4.7157944209175184e-05
1950,3.3976437407545745e-05
1951,4.424135840963572e-05
1952,3.42862076649908e-05
1953,3.6961162550142035e-05
1954,3.7289737520040944e-05
1955,3.3812619221862406e-05
1956,3.307215592940338e-05
1957,3.423846646910533e-05
1958,3.0650080589111894e-05
1959,3.124298382317647e-05
1960,3.149313488393091e-05
1961,3.046052370336838e-05
1962,2.6958949092659168e-05
1963,2.640651655383408e-05
1964,2.503425275790505e-05
1965,2.779030728561338e-05
1966,2.8406389901647344e-05
1967,3.308428495074622e-05
1968,2.8826991183450446e-05
1969,3.0833238270133734e-05
1970,2.9371038181125186e-05
1971,2.796679655148182e-05
1972,2.826613126671873e-05
1973,2.8742661015712656e-05
1974,2.7476919058244675e-05
1975,3.223782550776377e-05
1976,2.9116235964465886e-05
1977,3.089001256739721e-05
1978,2.952806062239688e-05
1979,2.7711334041669033e-05
1980,2.856405444617849e-05
1981,3.086640572291799e-05
1982,3.281065801274963e-05
1983,2.9186539904912934e-05
1984,3.1971718271961436e-05
1985,3.1079875043360516e-05
1986,3.166663009324111e-05
1987,3.1364343158202246e-05
1988,3.097771332249977e-05
1989,3.3736629120539874e-05
1990,3.303368794149719e-05
1991,3.6939924029866233e-05
1992,3.47941713698674e-05
1993,3.930414095520973e-05
1994,5.183162647881545e-05
1995,5.166376649867743e-05
1996,6.110765389166772e-05
1997,7.467641262337565e-05
1998,8.327982504852116e-05
1999,9.817208047024906e-05
2000,0.00010565177944954485
2001,0.00010944996756734326
2002,9.669234714237973e-05
2003,9.941545431502163e-05
2004,9.607915853848681e-05
2005,8.702116610947996e-05
2006,8.538029214832932e-05
2007,9.669987775851041e-05
2008,0.00010257192479912192
2009,5.9652040363289416e-05
2010,5.31104851688724e-05
2011,4.910654024570249e-05
2012,3.742136323126033e-05
2013,3.418199412408285e-05
2014,3.361011840752326e-05
2015,3.338572787470184e-05
2016,3.012866545759607e-05
2017,2.5841973183560185e-05
2018,2.3117079763324e-05
2019,2.4403019779128954e-05
