,learn
1896,4.890008858637884e-05
1897,4.8334102757507935e-05
1898,4.897514372714795e-05
1899,5.085720113129355e-05
1900,4.9059686716645956e-05
1901,4.673123112297617e-05
1902,4.805668140761554e-05
1903,4.7357163566630334e-05
1904,4.681182326748967e-05
1905,4.545642514131032e-05
1906,4.437298412085511e-05
1907,4.455238740774803e-05
1908,4.408433596836403e-05
1909,4.386150249047205e-05
1910,4.3050898966612294e-05
1911,4.119983714190312e-05
1912,4.313071258366108e-05
1913,4.3290081521263346e-05
1914,4.268109842087142e-05
1915,4.193392669549212e-05
1916,4.2953564843628556e-05
1917,4.2785242840182036e-05
1918,4.391403490444645e-05
1919,4.334382538218051e-05
1920,4.2972915252903476e-05
1921,4.1105395212071016e-05
1922,4.130468732910231e-05
1923,4.1640705603640527e-05
1924,4.178610834060237e-05
1925,4.0523627831134945e-05
1926,4.210623592371121e-05
1927,4.3079067836515605e-05
1928,4.1561837861081585e-05
1929,4.231173079460859e-05
1930,4.128548243897967e-05
1931,4.0460745367454365e-05
1932,4.090748916496523e-05
1933,3.819172707153484e-05
1934,4.062617153977044e-05
1935,3.9633599953958765e-05
1936,4.066253313794732e-05
1937,4.0878006984712556e-05
1938,4.1637453250586987e-05
1939,3.922527321265079e-05
1940,4.054388773511164e-05
1941,3.9283346268348396e-05
1942,4.453254950931296e-05
1943,4.259819252183661e-05
1944,4.5199758460512385e-05
1945,4.2216197471134365e-05
1946,4.388078014017083e-05
1947,4.245924355927855e-05
1948,4.1851548303384334e-05
1949,3.995637234766036e-05
1950,4.224523945595138e-05
1951,4.265401730663143e-05
1952,4.283909947844222e-05
1953,4.341447493061423e-05
1954,4.316741251386702e-05
1955,4.241985880071297e-05
1956,4.398268720251508e-05
1957,4.184653880656697e-05
1958,4.4892698497278616e-05
1959,4.258297849446535e-05
1960,4.274924867786467e-05
1961,4.241888746037148e-05
1962,4.234268271829933e-05
1963,4.286175681045279e-05
1964,4.2889332689810544e-05
1965,4.381858161650598e-05
1966,4.441752753336914e-05
1967,4.5106891775503755e-05
1968,4.586717113852501e-05
1969,4.6486584324156865e-05
1970,4.668450492317788e-05
1971,4.550943413050845e-05
1972,4.4853844883618876e-05
1973,4.240712587488815e-05
1974,4.264099698048085e-05
1975,4.131800596951507e-05
1976,4.083005478605628e-05
1977,4.175185313215479e-05
1978,4.1536844946676865e-05
1979,4.051036376040429e-05
1980,4.151275788899511e-05
1981,4.0711751353228465e-05
1982,4.2657800804590806e-05
1983,4.282133522792719e-05
1984,4.4117739889770746e-05
1985,4.421242920216173e-05
1986,4.530915248324163e-05
1987,4.587899456964806e-05
1988,4.653806900023483e-05
1989,4.72043248009868e-05
1990,4.8810594307724386e-05
1991,4.9626945838099346e-05
1992,5.043840064899996e-05
1993,5.229880116530694e-05
1994,5.423134643933736e-05
1995,5.395828338805586e-05
1996,5.7462890254100785e-05
1997,6.0786544054280967e-05
1998,6.174994632601738e-05
1999,6.342327105812728e-05
2000,6.633627344854176e-05
2001,6.644887616857886e-05
2002,7.019213808234781e-05
2003,7.141499372664839e-05
2004,7.424778596032411e-05
2005,7.539301441283897e-05
2006,7.628483581356704e-05
2007,7.770137017359957e-05
2008,8.124365558614954e-05
2009,8.85553818079643e-05
2010,9.216121543431655e-05
2011,9.13139883778058e-05
2012,8.3962018834427e-05
2013,8.596236148150638e-05
2014,9.009143832372501e-05
2015,9.062423487193882e-05
2016,8.758787589613348e-05
2017,8.391671872232109e-05
2018,8.1966798461508e-05
2019,8.756062015891075e-05
