,map
1879,2.5814100808929652e-05
1880,2.3712613256066106e-05
1881,2.3140444682212546e-05
1882,2.290192605869379e-05
1883,2.4157669031410478e-05
1884,3.0453476938419044e-05
1885,3.056239438592456e-05
1886,3.35772056132555e-05
1887,2.8769802156602964e-05
1888,2.5568462660885416e-05
1889,2.8842518076999113e-05
1890,2.6653018721845e-05
1891,2.979652890644502e-05
1892,2.958857839985285e-05
1893,3.0397401133086532e-05
1894,2.703837162698619e-05
1895,3.169585033901967e-05
1896,3.0728850106243044e-05
1897,3.0261819119914435e-05
1898,3.0149345548124984e-05
1899,2.808725730574224e-05
1900,3.118892345810309e-05
1901,3.1559597118757665e-05
1902,2.9104456189088523e-05
1903,3.1719438993604854e-05
1904,3.1522969948127866e-05
1905,3.0279414204414934e-05
1906,3.238960198359564e-05
1907,3.170900163240731e-05
1908,3.279197699157521e-05
1909,3.0365930797415785e-05
1910,3.069235026487149e-05
1911,3.2256186386803165e-05
1912,3.58621146006044e-05
1913,3.3433057978982106e-05
1914,3.5584656870923936e-05
1915,3.244217805331573e-05
1916,3.32689996866975e-05
1917,3.3762658858904615e-05
1918,3.4671375033212826e-05
1919,3.2670021028025076e-05
1920,3.0036704629310407e-05
1921,3.062741961912252e-05
1922,3.0095086913206615e-05
1923,3.80531964765396e-05
1924,3.3334548788843676e-05
1925,3.4901229810202494e-05
1926,3.442861998337321e-05
1927,3.412637670408003e-05
1928,3.629772618296556e-05
1929,3.571823981474154e-05
1930,3.563770223991014e-05
1931,3.777020538109355e-05
1932,3.521408871165477e-05
1933,3.827158434432931e-05
1934,3.638080306700431e-05
1935,5.4834195907460526e-05
1936,3.5218483390053734e-05
1937,3.9220012695295736e-05
1938,4.274812454241328e-05
1939,3.685800402308814e-05
1940,3.714352351380512e-05
1941,3.697103966260329e-05
1942,3.926908175344579e-05
1943,3.563571226550266e-05
1944,3.939880116377026e-05
1945,3.474450568319298e-05
1946,3.406590622034855e-05
1947,3.300367097835988e-05
1948,3.5200395359424874e-05
1949,5.2394112572073936e-05
1950,3.966730218962766e-05
1951,3.618195842136629e-05
1952,3.522153201629408e-05
1953,4.07046900363639e-05
1954,3.8400212361011654e-05
1955,3.539191311574541e-05
1956,3.95468705391977e-05
1957,3.880194708472118e-05
1958,3.885493060806766e-05
1959,3.6281850043451414e-05
1960,3.780553743126802e-05
1961,3.7694477214245126e-05
1962,3.922354517271742e-05
1963,4.2186864448012784e-05
1964,3.8185946323210374e-05
1965,3.789671973208897e-05
1966,3.700189699884504e-05
1967,3.5998007660964504e-05
1968,3.606733662309125e-05
1969,3.454590114415623e-05
1970,3.4896751458290964e-05
1971,3.753708733711392e-05
1972,3.6654277209891006e-05
1973,3.631033541751094e-05
1974,3.787836612900719e-05
1975,3.776598896365613e-05
1976,3.531271067913622e-05
1977,3.651444421848282e-05
1978,3.73746661352925e-05
1979,3.908542566932738e-05
1980,4.075611650478095e-05
1981,4.003174399258569e-05
1982,4.147480285610072e-05
1983,4.1179111576639116e-05
1984,4.043505759909749e-05
1985,3.7319121474865824e-05
1986,4.06167637265753e-05
1987,4.290031210985035e-05
1988,4.071630974067375e-05
1989,4.261555295670405e-05
1990,4.25928010372445e-05
1991,4.261495269020088e-05
1992,4.222617280902341e-05
1993,4.252104554325342e-05
1994,4.1750776290427893e-05
1995,4.329167495598085e-05
1996,4.814266139874235e-05
1997,4.8239111492875963e-05
1998,4.07577863370534e-05
1999,4.032106517115608e-05
2000,4.102840830455534e-05
2001,3.974106220994145e-05
2002,4.060627907165326e-05
2003,4.2984476749552414e-05
2004,4.0840568544808775e-05
2005,4.078521305928007e-05
2006,4.15318863815628e-05
2007,4.035109668620862e-05
2008,3.7984624214004725e-05
2009,3.805221422226168e-05
2010,4.010659904452041e-05
2011,4.200092371320352e-05
2012,4.3771415221272036e-05
2013,4.196639929432422e-05
2014,3.799253681791015e-05
2015,3.814587034867145e-05
2016,3.981463669333607e-05
2017,3.735577411134727e-05
2018,3.657105116872117e-05
2019,3.816920434474014e-05
