,jobs
1898,1.346679368907644e-06
1899,1.6424717159679858e-06
1900,1.8607034917295096e-06
1901,1.8581478116175276e-06
1902,1.7993700112128863e-06
1903,2.0718489395221695e-06
1904,2.1125592866155785e-06
1905,2.2559231638297206e-06
1906,2.4359953840757953e-06
1907,2.5776437269087182e-06
1908,3.019656332980958e-06
1909,3.4852398584916955e-06
1910,3.4608985970407957e-06
1911,4.081199676875258e-06
1912,4.677012839238159e-06
1913,1.179462287836941e-05
1914,5.8644691307563335e-06
1915,6.8522363108058926e-06
1916,8.544393494958058e-06
1917,7.915428795968182e-06
1918,1.0328244570700917e-05
1919,1.2467713531805202e-05
1920,1.0933591511275154e-05
1921,1.1833685675810557e-05
1922,1.1308541616017465e-05
1923,1.139983123721322e-05
1924,1.1834425095003098e-05
1925,1.0913608093687799e-05
1926,1.1466066098364536e-05
1927,1.2334265193203464e-05
1928,1.3753137864114251e-05
1929,1.4578018635802437e-05
1930,1.6510404748260044e-05
1931,1.801068901841063e-05
1932,1.805459032766521e-05
1933,1.7854445104603656e-05
1934,1.9349021386005916e-05
1935,2.0675925043178722e-05
1936,2.3355252778856084e-05
1937,2.2151099983602762e-05
1938,2.7151580070494674e-05
1939,2.9974278731970116e-05
1940,3.538733653840609e-05
1941,3.9244670915650204e-05
1942,4.564588380162604e-05
1943,4.930807699565776e-05
1944,5.601654265774414e-05
1945,5.9629863244481385e-05
1946,4.398425153340213e-05
1947,3.9557045965921134e-05
1948,3.881784505210817e-05
1949,3.824917075689882e-05
1950,3.543015554896556e-05
1951,3.719952655956149e-05
1952,3.698836735566147e-05
1953,3.746216316358186e-05
1954,3.9416856452589855e-05
1955,4.0100923797581345e-05
1956,3.8822465285193175e-05
1957,3.752773773157969e-05
1958,3.8352703995769843e-05
1959,3.892346649081446e-05
1960,4.0382699808105826e-05
1961,4.161092147114687e-05
1962,4.100819205632433e-05
1963,4.368643567431718e-05
1964,4.304825051804073e-05
1965,4.246181924827397e-05
1966,4.133109177928418e-05
1967,4.28544262831565e-05
1968,4.333526885602623e-05
1969,4.175352296442725e-05
1970,4.652786810765974e-05
1971,4.8228324885712937e-05
1972,4.9533278797753155e-05
1973,4.8312576836906374e-05
1974,4.9633126764092594e-05
1975,5.636917194351554e-05
1976,5.5908207286847755e-05
1977,6.145676161395386e-05
1978,6.022380694048479e-05
1979,5.4974148952169344e-05
1980,5.582529411185533e-05
1981,5.3883850341662765e-05
1982,5.726798190153204e-05
1983,6.046793350833468e-05
1984,5.918189708609134e-05
1985,5.459952080855146e-05
1986,5.520614649867639e-05
1987,5.258568126009777e-05
1988,5.385422264225781e-05
1989,4.7808774979785085e-05
1990,4.8672733100829646e-05
1991,4.8719040933065116e-05
1992,5.6516782933613285e-05
1993,6.001911242492497e-05
1994,5.707799573428929e-05
1995,5.14507046318613e-05
1996,5.31392106495332e-05
1997,5.1669005188159645e-05
1998,4.9695834604790434e-05
1999,4.83635812997818e-05
2000,4.748194623971358e-05
2001,4.438967152964324e-05
2002,4.4622091081691906e-05
2003,4.320586594985798e-05
2004,4.70755658170674e-05
2005,4.433797948877327e-05
2006,4.184269710094668e-05
2007,3.99540331272874e-05
2008,3.855366230709478e-05
2009,3.980120527558029e-05
2010,4.02005243813619e-05
2011,3.868543353746645e-05
2012,3.42165440088138e-05
2013,3.3214437280548736e-05
2014,3.3856900699902326e-05
2015,3.4681470424402505e-05
2016,3.526351792970672e-05
2017,3.0455210435320623e-05
2018,2.8627044230233878e-05
2019,2.9750044632237405e-05
