,library
1946,5.641304232995026e-05
1947,5.5241038353415206e-05
1948,5.302526551531628e-05
1949,5.689575846190564e-05
1950,5.079984839539975e-05
1951,4.99135821883101e-05
1952,5.193387914914638e-05
1953,5.072481872048229e-05
1954,5.279043398331851e-05
1955,5.447959483717568e-05
1956,5.975504609523341e-05
1957,5.113750739837997e-05
1958,5.4313746659317985e-05
1959,5.312539724400267e-05
1960,6.000669964123517e-05
1961,6.11170835327357e-05
1962,5.163210516911931e-05
1963,5.8715926570585e-05
1964,5.655528366332874e-05
1965,6.233165186131373e-05
1966,6.078930528019555e-05
1967,5.894815330975689e-05
1968,6.056525307940319e-05
1969,5.786438123323023e-05
1970,5.8663015806814656e-05
1971,5.245854481472634e-05
1972,5.716648593079299e-05
1973,5.109295670990832e-05
1974,5.395491098170169e-05
1975,5.088757097837515e-05
1976,5.017927833250724e-05
1977,5.478829189087264e-05
1978,4.888356488663703e-05
1979,5.260558464215137e-05
1980,5.286839586915448e-05
1981,5.298570613376796e-05
1982,5.072325075161643e-05
1983,5.37490050191991e-05
1984,5.157603300176561e-05
1985,5.1086484745610505e-05
1986,5.2250787121010944e-05
1987,4.813083432964049e-05
1988,5.0654325605137274e-05
1989,4.833662387682125e-05
1990,5.039682946517132e-05
1991,4.855349470744841e-05
1992,4.9217815103475004e-05
1993,4.886333044851199e-05
1994,4.6829667553538457e-05
1995,4.5407021389110014e-05
1996,4.639814869733527e-05
1997,4.70994709758088e-05
1998,4.1743594920262694e-05
1999,4.117436765227467e-05
2000,4.032944343634881e-05
2001,3.9397727960022166e-05
2002,4.147505751461722e-05
2003,3.8308797229547054e-05
2004,4.079609061591327e-05
2005,3.6117493436904624e-05
2006,3.599336923798546e-05
2007,3.630395804066211e-05
2008,3.353140709805302e-05
2009,3.3465996239101514e-05
2010,3.360433765919879e-05
2011,3.284375634393655e-05
2012,3.002857556566596e-05
2013,3.169414048898034e-05
2014,3.1583978852722794e-05
2015,3.0094994144747034e-05
2016,3.145360096823424e-05
2017,2.9508420993806794e-05
2018,2.8440241294447333e-05
2019,2.991463588841725e-05
