,index
1891,2.069616675726138e-05
1892,1.3708393453271128e-05
1893,1.65827659657225e-05
1894,1.5175678527157288e-05
1895,1.5335595890064724e-05
1896,1.5217844520520885e-05
1897,1.5990797692211345e-05
1898,1.5255548532877583e-05
1899,1.4593402738682926e-05
1900,1.5166118828346953e-05
1901,1.7386737454216927e-05
1902,1.712557059363462e-05
1903,1.955145489773713e-05
1904,1.797528784663882e-05
1905,1.818502823880408e-05
1906,1.872122629720252e-05
1907,2.032395605056081e-05
1908,2.1124573322595097e-05
1909,1.894503839139361e-05
1910,2.106432839354966e-05
1911,2.054184369626455e-05
1912,2.1410574845504016e-05
1913,2.342080551898107e-05
1914,2.1470046704052947e-05
1915,2.330135612282902e-05
1916,2.291025703016203e-05
1917,2.268875323352404e-05
1918,2.374533323745709e-05
1919,2.2938376787351444e-05
1920,2.520969974284526e-05
1921,3.073834886890836e-05
1922,3.170711352140643e-05
1923,3.382156137377024e-05
1924,3.5416298487689346e-05
1925,3.613367152865976e-05
1926,3.8592097553191707e-05
1927,6.01182364334818e-05
1928,3.626310353865847e-05
1929,3.826314787147567e-05
1930,3.9099300920497626e-05
1931,4.5970351493451744e-05
1932,6.392181239789352e-05
1933,4.722959056380205e-05
1934,4.4597374653676525e-05
1935,4.6044180635362864e-05
1936,4.8084086301969364e-05
1937,7.678706606384367e-05
1938,5.498340760823339e-05
1939,5.819772923132405e-05
1940,7.066989201121032e-05
1941,6.580895569641143e-05
1942,6.201813812367618e-05
1943,5.4067269957158715e-05
1944,4.7885856474749744e-05
1945,3.937872315873392e-05
1946,4.1494979086564854e-05
1947,4.497193731367588e-05
1948,5.346737816580571e-05
1949,5.248538946034387e-05
1950,4.954686664859764e-05
1951,5.4750300478190184e-05
1952,5.624240657198243e-05
1953,5.4067069868324324e-05
1954,6.524004129460081e-05
1955,5.247399167274125e-05
1956,5.2342213166411966e-05
1957,5.81800086365547e-05
1958,5.783084634458646e-05
1959,6.412250513676554e-05
1960,7.426379306707531e-05
1961,6.893055979162455e-05
1962,6.51567243039608e-05
1963,6.0475860664155334e-05
1964,5.934874570812099e-05
1965,6.161602505017072e-05
1966,5.931056148256175e-05
1967,6.569994002347812e-05
1968,5.565669925999828e-05
1969,5.695877189282328e-05
1970,5.874356429558247e-05
1971,6.814347580075264e-05
1972,7.46245714253746e-05
1973,6.161983037600294e-05
1974,6.16355100646615e-05
1975,6.597945321118459e-05
1976,6.977093289606273e-05
1977,7.244687003549188e-05
1978,7.571164314867929e-05
1979,7.408369856420904e-05
1980,7.705008465563878e-05
1981,7.499116327380762e-05
1982,8.416640048380941e-05
1983,7.568416913272813e-05
1984,7.031315908534452e-05
1985,9.324730490334332e-05
1986,7.143591938074678e-05
1987,9.428778139408678e-05
1988,8.04650189820677e-05
1989,7.41114272386767e-05
1990,7.564006955362856e-05
1991,6.750438478775322e-05
1992,7.226377783808857e-05
1993,6.919303996255621e-05
1994,6.88179352437146e-05
1995,8.145444735419005e-05
1996,6.612674769712612e-05
1997,6.602169742109254e-05
1998,6.924596527824178e-05
1999,6.29308633506298e-05
2000,6.370945629896596e-05
2001,6.428828783100471e-05
2002,6.321937689790502e-05
2003,6.367555761244148e-05
2004,6.0613794630626217e-05
2005,6.267214484978467e-05
2006,5.845522173331119e-05
2007,5.61890410608612e-05
2008,5.228900408837944e-05
2009,5.5878135754028335e-05
2010,4.733099558507092e-05
2011,4.430314220371656e-05
2012,4.658679972635582e-05
2013,4.270773206371814e-05
2014,3.373854633537121e-05
2015,3.3414995414204895e-05
2016,3.5613218642538413e-05
2017,3.404044400667772e-05
2018,3.1566913094138727e-05
2019,3.355445369379595e-05
