,uk
1929,6.049369716265574e-08
1930,1.481860181229422e-07
1931,7.248854672070593e-08
1932,1.3275042931581993e-07
1933,8.614747315505156e-08
1934,9.438637249559179e-08
1935,8.341336865669291e-08
1936,6.859795576019678e-08
1937,5.897816990341198e-08
1938,8.975599996574601e-08
1939,7.723819095417639e-08
1940,8.059071632260384e-08
1941,6.16676345543965e-08
1942,1.7268985175178386e-07
1943,7.980435157151078e-08
1944,8.41697982423284e-08
1945,9.50241982877742e-08
1946,6.457450751895522e-08
1947,6.812602038053228e-08
1948,8.789719885271552e-08
1949,8.096987613726014e-08
1950,9.306675963216549e-08
1951,7.900199960886312e-08
1952,7.321153105976919e-08
1953,8.717171340322238e-08
1954,9.626610619761777e-08
1955,9.9687177623764e-08
1956,9.444920578971505e-08
1957,9.592143612735526e-08
1958,1.379852818672589e-07
1959,1.3349486494007579e-07
1960,1.2346121991413384e-07
1961,1.4413089388654043e-07
1962,1.5163242039761826e-07
1963,1.627565922035501e-07
1964,3.089315896431799e-07
1965,2.429446226415166e-07
1966,2.857658785160311e-07
1967,2.605631834740052e-07
1968,2.2794037590756488e-07
1969,2.3198759890874499e-07
1970,3.3476226235507056e-07
1971,2.971458172851271e-07
1972,2.972246875287965e-07
1973,3.328993329887453e-07
1974,2.9692822067772795e-07
1975,3.84686501320175e-07
1976,4.1467757228019764e-07
1977,3.712246723353019e-07
1978,3.397475154542917e-07
1979,2.3227697454331064e-07
1980,2.1928957494310453e-07
1981,2.5355345201205637e-07
1982,2.1016609252910712e-07
1983,2.650728561093274e-07
1984,2.2244677211347152e-07
1985,3.7992063539604715e-07
1986,2.932354448148544e-07
1987,2.7430209570411535e-07
1988,2.5440795070608146e-07
1989,1.9595425726492977e-07
1990,2.062548674075515e-07
1991,2.6467589009371295e-07
1992,2.6825568966160063e-07
1993,2.551472277900757e-07
1994,5.72925614505948e-07
1995,8.06287403065653e-07
1996,7.020437351457076e-07
1997,7.163327495618432e-07
1998,5.439856067823712e-07
1999,7.361348934864509e-07
2000,7.416902576551365e-07
2001,8.605379093751253e-07
2002,6.896305535519787e-07
2003,8.226417662626773e-07
2004,8.248708809333039e-07
2005,9.530256761536293e-07
2006,1.2541030400825548e-06
2007,8.287437935905473e-07
2008,1.2169923593319254e-06
2009,6.799548373237485e-07
2010,6.37790492419299e-07
2011,4.878586992163036e-07
2012,5.220075536271906e-07
2013,5.815134045406012e-07
2014,6.322898684629763e-07
2015,6.685234552605834e-07
2016,8.638744475319982e-07
2017,7.18094213425502e-07
2018,5.984273911963101e-07
2019,5.723260301238042e-07
