,posted
1927,8.112295290629845e-06
1928,7.46757177694235e-06
1929,7.4776312430913094e-06
1930,8.396305929636583e-06
1931,8.66254140419187e-06
1932,7.905730853963178e-06
1933,8.137314580380917e-06
1934,7.5250177360430826e-06
1935,7.71060604165541e-06
1936,8.266134500445332e-06
1937,8.141503712977283e-06
1938,8.389152753807139e-06
1939,1.0380255844211206e-05
1940,9.506091373623349e-06
1941,8.939065992308315e-06
1942,8.885250281309709e-06
1943,9.2042228061473e-06
1944,8.513118700648192e-06
1945,9.131912520388141e-06
1946,8.963842446974013e-06
1947,7.957066372910049e-06
1948,8.304116818180773e-06
1949,9.177628271572758e-06
1950,8.140038517012727e-06
1951,8.527427780791186e-06
1952,8.405754670093302e-06
1953,9.15753025765298e-06
1954,8.344683919858653e-06
1955,8.4915254774387e-06
1956,7.440071385644842e-06
1957,8.67499693413265e-06
1958,8.016842912184075e-06
1959,8.493610948789865e-06
1960,8.188582796719857e-06
1961,8.575704669055995e-06
1962,9.347135346615687e-06
1963,8.681093277118634e-06
1964,8.408833309658803e-06
1965,8.073159733612556e-06
1966,8.296777195937466e-06
1967,7.4948898145521525e-06
1968,7.2857001214288175e-06
1969,7.513283890148159e-06
1970,7.549207566626137e-06
1971,7.939428542158566e-06
1972,7.464424015779514e-06
1973,8.031449397094548e-06
1974,8.209604857256636e-06
1975,7.790449672029354e-06
1976,7.042527613521088e-06
1977,7.310428372875322e-06
1978,7.07259505361435e-06
1979,6.580374702025438e-06
1980,7.047999588394305e-06
1981,7.447925781889353e-06
1982,6.8905346779502e-06
1983,6.561924692505272e-06
1984,6.576680334546836e-06
1985,7.758100764476694e-06
1986,6.9947459451213945e-06
1987,7.003990958764916e-06
1988,7.406745226035127e-06
1989,7.158520475059049e-06
1990,7.276452834048541e-06
1991,7.270944934134604e-06
1992,7.15755140845431e-06
1993,6.897270850458881e-06
1994,6.9114353209442925e-06
1995,7.625927082699491e-06
1996,7.684065167268272e-06
1997,8.378762686334085e-06
1998,8.579654604545794e-06
1999,9.278996913053561e-06
2000,9.039367796503939e-06
2001,9.799179679248482e-06
2002,9.157895874523092e-06
2003,9.123825293499976e-06
2004,9.642317309044302e-06
2005,9.521575520921033e-06
2006,9.737144864629954e-06
2007,9.584355211700313e-06
2008,9.99623352981871e-06
2009,9.704541298560798e-06
2010,1.0137810932064895e-05
2011,9.81176708592102e-06
2012,8.699099453224335e-06
2013,9.675870387582108e-06
2014,9.32852526602801e-06
2015,9.936871720128693e-06
2016,9.528651389700826e-06
2017,8.780541975283995e-06
2018,8.371673175133765e-06
2019,8.526317287760321e-06
