,media
1957,1.982281537493691e-05
1958,2.0182578737149015e-05
1959,2.1645872038789093e-05
1960,2.3707318177912384e-05
1961,2.276626582897734e-05
1962,2.2694424842484295e-05
1963,2.4053513698163442e-05
1964,2.529402081563603e-05
1965,2.476821100572124e-05
1966,2.6541978513705544e-05
1967,2.7756052077165805e-05
1968,2.970962850668002e-05
1969,3.262063182774e-05
1970,3.437841951381415e-05
1971,3.6259043554309756e-05
1972,3.8847894757054746e-05
1973,3.904707045876421e-05
1974,4.106306005269289e-05
1975,4.1102655814029276e-05
1976,4.217658715788275e-05
1977,4.4308279029792175e-05
1978,4.4719399738823995e-05
1979,4.546676791505888e-05
1980,4.787867146660574e-05
1981,4.728597923531197e-05
1982,4.872405406786129e-05
1983,4.668562542065047e-05
1984,4.9970520194619894e-05
1985,5.128124757902697e-05
1986,5.260682519292459e-05
1987,5.0609480240382254e-05
1988,5.314123336574994e-05
1989,5.453258927445859e-05
1990,5.6058492191368714e-05
1991,5.784383392892778e-05
1992,5.758421684731729e-05
1993,5.734666046919301e-05
1994,6.238754576770589e-05
1995,6.280637899180874e-05
1996,6.55893309158273e-05
1997,6.854061211925e-05
1998,6.908675277372822e-05
1999,6.966618821024895e-05
2000,7.302715675905347e-05
2001,7.2835675382521e-05
2002,7.833995914552361e-05
2003,7.799652667017654e-05
2004,7.978651410667226e-05
2005,8.001225796760991e-05
2006,8.103416621452197e-05
2007,8.159120625350624e-05
2008,7.901518983999267e-05
2009,7.916332833701745e-05
2010,7.967602141434327e-05
2011,7.836821168893948e-05
2012,7.850250403862447e-05
2013,8.939369581639767e-05
2014,8.47835763124749e-05
2015,9.0255074610468e-05
2016,0.00010200472024735063
2017,8.88603026396595e-05
2018,8.345097012352198e-05
2019,9.148213575826958e-05
