,january
1962,2.636570002323424e-07
1963,2.3405524984809745e-07
1964,3.3824110801106144e-07
1965,4.835326308239019e-07
1966,3.458030448655336e-07
1967,2.4532849351999175e-07
1968,2.7088745468972775e-07
1969,3.097887031344726e-07
1970,3.4231561585329473e-07
1971,2.6056829938170267e-07
1972,3.37755324153477e-07
1973,3.344339916111494e-07
1974,3.2788042858555855e-07
1975,3.555915384367836e-07
1976,3.9572617538397026e-07
1977,2.1929004390131013e-07
1978,2.3807871230019373e-07
1979,2.245137835643618e-07
1980,3.2609702316221956e-07
1981,3.202690379566775e-07
1982,3.448908501013648e-07
1983,2.7439867267275986e-07
1984,2.787928394809569e-07
1985,3.240453736452764e-07
1986,3.541728972322744e-07
1987,3.6444976103666704e-07
1988,3.5983734392175393e-07
1989,2.939313787919673e-07
1990,3.4355525713181123e-07
1991,2.5463228325861564e-07
1992,2.847859263965802e-07
1993,2.8739597723870247e-07
1994,2.772888194613188e-07
1995,3.0921637517167255e-07
1996,2.8776128147001145e-07
1997,2.88791000002675e-07
1998,3.0505577797157457e-07
1999,3.827795751476515e-07
2000,3.1513479825662216e-07
2001,2.8218136094437796e-07
2002,2.920091617397702e-07
2003,2.630432902606117e-07
2004,2.662843314737984e-07
2005,2.565953991506831e-07
2006,3.034789983757946e-07
2007,3.5184518765163375e-07
2008,3.8505109500874823e-07
2009,3.8872059349159827e-07
2010,4.1898206859514175e-07
2011,4.585249655519874e-07
2012,5.079227776150219e-07
2013,7.051981469885504e-07
2014,1.5939670561238017e-07
2015,6.552539133508617e-08
2016,7.824800718481129e-08
2017,5.535552105584429e-08
2018,1.2415600281201478e-07
2019,4.0217031482825405e-08
