,image
1960,3.278466101619415e-05
1961,3.486359855742194e-05
1962,4.0854029066395015e-05
1963,3.538006785674952e-05
1964,3.7493471609195694e-05
1965,4.0847760828910396e-05
1966,4.1944149415940046e-05
1967,3.923392796423286e-05
1968,4.201816045679152e-05
1969,4.154590715188533e-05
1970,4.396511212689802e-05
1971,4.384329804452136e-05
1972,4.496123438002542e-05
1973,4.513575913733803e-05
1974,4.546422860585153e-05
1975,4.574646663968451e-05
1976,4.4128348235972226e-05
1977,4.651715062209405e-05
1978,4.885881571681239e-05
1979,4.831265323446132e-05
1980,5.115829480928369e-05
1981,5.200142186367884e-05
1982,5.632075772155076e-05
1983,5.9343292377889156e-05
1984,6.213955930434167e-05
1985,6.437867705244571e-05
1986,6.973381823627278e-05
1987,7.084367098286748e-05
1988,7.275328243849799e-05
1989,7.642651326023042e-05
1990,7.977040513651446e-05
1991,8.248096128227189e-05
1992,8.520756819052622e-05
1993,8.49969801492989e-05
1994,8.811834413791075e-05
1995,8.915711077861488e-05
1996,9.204524394590408e-05
1997,9.813936048885807e-05
1998,9.922508616000414e-05
1999,0.00010025528899859637
2000,0.00010061357170343399
2001,9.83049176284112e-05
2002,0.0001040838033077307
2003,0.00010907623800449073
2004,0.00010980043589370325
2005,0.00010940805805148557
2006,0.00010734209354268387
2007,0.00010370612289989367
2008,9.746025170898065e-05
2009,0.00010266355820931494
2010,0.00010865363583434373
2011,0.00011018358054570854
2012,0.00011623738828347996
2013,0.00011699030437739566
2014,0.0001042088188114576
2015,0.00010723347804741934
2016,0.00011006362910848111
2017,0.00010331358498660848
2018,9.846076864050701e-05
2019,0.00010027612734120339
