,pc
1926,2.208582401408421e-07
1927,2.8959050268895226e-07
1928,1.8647995148057817e-07
1929,2.4101203166537744e-07
1930,2.5451066676396294e-07
1931,5.685720907422365e-07
1932,3.0143198159748863e-07
1933,2.2585122394502832e-07
1934,2.3816949124011444e-07
1935,3.3100545238085033e-07
1936,3.530443279942119e-07
1937,2.2537524557719735e-07
1938,2.4266788045679277e-07
1939,2.372839276176819e-07
1940,2.739770366133598e-07
1941,2.2900769636180485e-07
1942,2.674863139873196e-07
1943,2.870790183351346e-07
1944,2.822390854362311e-07
1945,3.145387950098666e-07
1946,3.3128225140899303e-07
1947,3.160622270570457e-07
1948,3.580267105007806e-07
1949,3.7276259945429047e-07
1950,4.486443856421829e-07
1951,4.3714439357245283e-07
1952,3.8962818393883936e-07
1953,4.916437319479883e-07
1954,4.651124072552193e-07
1955,8.310924499710381e-07
1956,5.539555445466249e-07
1957,7.304864766410901e-07
1958,7.747467520857754e-07
1959,7.991779966687318e-07
1960,7.083854711709137e-07
1961,8.135480698001629e-07
1962,9.535924618830904e-07
1963,1.1823569820990087e-06
1964,1.4293897265815758e-06
1965,1.2845642913816846e-06
1966,9.904055104925646e-07
1967,8.746713433538389e-07
1968,9.488465479989827e-07
1969,9.393374398314336e-07
1970,9.651579375713482e-07
1971,8.887096782927983e-07
1972,9.408763617102522e-07
1973,1.0849461204998079e-06
1974,1.281948016185197e-06
1975,1.1163821227455628e-06
1976,1.016095779959869e-06
1977,1.1372284234312247e-06
1978,1.0233296734440955e-06
1979,1.192100057778589e-06
1980,1.3597301631307346e-06
1981,1.355160179628001e-06
1982,1.4876618479320314e-06
1983,1.571401412547857e-06
1984,1.3401283922576113e-06
1985,1.6367768012059969e-06
1986,1.5960320070007583e-06
1987,1.6491055703227175e-06
1988,1.4694287528982386e-06
1989,1.5144381677600904e-06
1990,1.5526226206930005e-06
1991,1.4011567373017897e-06
1992,1.3039805253356462e-06
1993,1.230532006957219e-06
1994,1.5619224313923041e-06
1995,1.2622513168025762e-06
1996,1.4112567896518158e-06
1997,1.312669724029547e-06
1998,1.1364367082933313e-06
1999,1.39643736929429e-06
2000,1.015268821902282e-06
2001,1.1836086741823237e-06
2002,1.1304915688015171e-06
2003,1.066457457454817e-06
2004,1.066166646523925e-06
2005,9.830143881117692e-07
2006,9.559679483572836e-07
2007,9.30093563056289e-07
2008,7.87387932632555e-07
2009,5.969149015072617e-07
2010,5.443911277325242e-07
2011,5.455261771203368e-07
2012,9.444924558010825e-07
2013,6.720703709106601e-07
2014,5.356769179343246e-07
2015,4.229808041600336e-07
2016,5.232016064837808e-07
2017,4.995817448616435e-07
2018,6.224146886779636e-07
2019,4.710386747319717e-07
